Code,Title,DMsGuild,Levels,Runtime,Magic Item,Magic Item Flavor,Story Award Title,Story Award Description,Spellbook,Locations,Series,Notes
CCC-3MAGS-01,Vormestrand's Scroll,https://www.dmsguild.com/product/260364/CCC3MAGSONE-Vormestrands-Scroll,1-2,5 x 1 hour; 1x 2 hour,"Pipe of Smoke Monsters
Staff of Adornment
Tankard of Sobriety
Potion of Healing (4 + party)","Pipe of Smoke Monsters
This pipe is made of dark wood and inlaid with mithral with a stem fashioned from a hollow leg bone once belonging to a bird. When used, it creates the sound of a random bird.

Staff of Adornment
Flowering hop vines are entwined around the shaft of this light, pale wooden staff. No matter what object(s) float atop it, it smells like fresh hops.

Tankard of Sobriety
The stern face sculpted into the side of this tankard is that of a human man in his late 30s with a finely groomed mustache and beard, and a monocle.","Great!
Mediocre!
Dismal!","Great!
The beer is a rousing success, and many say that it has no equal in all of the Moonsea. You can expect to be treated quite well by connoisseurs and enthusiasts everywhere—if you can convince them you actually played a part in the brewing.

Mediocre!
The beer is palatable and still better than your average swill. While it carries some distinctive flavors to set it apart from the rest, most people find the tale of its brewing to be more enjoyable than the beer itself.

Dismal!
The beer is little more than bitter water that barkeeps across the Moonsea ply their most drunken customers with in order to save the good stuff and make a little extra coin. While the tale of the brewing was no doubt exciting, linking your name to it won’t get you much respect from even the amateur beer enthusiasts.",,"Cormanthor Forest, Elmwood",Cascadian Legacy,5 1-hour mini-adventures and 1 2-hour mini-adventure
CCC-6SWORDS-01,Six Swords Out of Hell,https://www.dmsguild.com/product/313874/Six-Swords-Out-of-Hell,,,,,,,,,,
CCC-AETHER01-01 ,The Heir of Orcus: Verse I ,https://www.dmsguild.com/product/258606/CCCAETHER0101-The-Heir-of-Orcus-Verse-I,1-4,2,"Helm of Comprehend Languages
Spell Scroll of Absorb Elements
Spell Scroll of Comprehend Languages","Helm of Comprehend Languages
This elaborate helm is made of Avernium, a black metal found only in Avernus. The helm has the appearance of a crown with spikes. The inner circle of the helm has an inscription in Infernal which reads, “Avernus Dragonchess Champion”.","Knight of Holy Judgment
Cultist of Zariel","Knight of Holy Judgment
You are now a member of the Knights of Holy Judgment! As a Knight of Holy Judgment, you swore a solemn oath to uphold justice, hunt down the wicked, and to serve as a stalwart guardian against devils and demons. May Tyr guide you as you devote yourself to the cause of justice, to the righting of wrongs, and the deliverance of vengeance!

Cultist of Zariel
Sacrificing Ser Gertz has earned you the favor of the Archdevil Zariel. Go forth and recruit more souls in the name of Zariel!
    When a character joins the Cult of Zariel they are branded in the arm with a pentagram during an occult ritual. Their armor and equipment is emblazoned with the symbols of Zariel: a flaming sword and spear. Initiation into the cult is complete when everyone present repeats the “Chant to Zariel” aloud.
    Chant to Zariel. “You are the protector of the Nine Hells. All that stands between the demonic incursion and planar devastation is your will and might. Praise be to Zariel, our most fierce and brave leader, rightful ruler of Avernus. Eternal death to all who oppose her noble goal.",,"Melvaunt outskirts, Thar",The Heir of Orcus,
CCC-AETHER01-02,The Heir of Orcus: Verse II,https://www.dmsguild.com/product/258619/CCCAETHER0102-The-Heir-of-Orcus-Verse-II,1-4,4,"Mariner’s Armor (Breastplate)
Dread Helm","Mariner’s Armor (Breastplate)
The number “12101993” is etched into the inside of this green metallic breastplate, along with a single word in Abyssal: “Doomed”.

Dread Helm
This fearsome steel helm makes your eyes glow red while you wear it. When you wear it, the glass visor displays your body and any damage you take.","Rising Through the Ranks
Chosen One","Rising Through the Ranks
Characters gain this story award if they sided with the Knights of Holy Judgement or the Cult of Zariel: Your service has not gone unnoticed; your “side” offers you a permanent room and free food at their headquarters featured throughout The Heir of Orcus storyline.

Chosen One
Characters who sided with Chaos receive this story award when the complete this adventure. Something beckons you…you never feel alone even when you physically are…something or someone is watching, waiting, you have become a chosen one!",,Thar,The Heir of Orcus,
CCC-ROLL20-02,The Heir of Orcus: Verse III,https://www.dmsguild.com/product/287714/The-Heir-of-Orcus-Verse-III--CCCROLL2002,5-10,2,"Gem of Brightness
Cloak of Many Fashions
Potion of Heroism","Gem of Brightness
This magnificent sapphire blue 20-sided gem resembles an artifact of lore. Deities from another dimension used gems crafted in such a fashion to control the actions and decisions of mortals. Many Faerûnian scholars believe there is no truth to such myths.

Cloak of Many Fashions
This cloak is worn as part of the Reclamator uniform. Reclamators normally wear the cloak with a rugged brown appearance and a large ribbed collar. In certain circumstances, Reclamators choose to use a modified version of their cloaks; black with wolf fur along the collar","Detente
Cthulhu Cometh","Detente
For now, the Knights of Holy Judgment, Cult of Zariel, and forces of Chaos work with one another and toward a singular purpose—to destroy the Heir of Orcus. Will you maintain this unsteady alliance?

Cthulhu Cometh
Characters who sided with Chaos and thwarted the Cult of the Heir in Duerradin receive this award.
    For a moment, everything goes black. Deep down, you feel a calling, one you cannot ignore. Whispers burrow in your mind; madness consumes your thoughts. Suddenly, in your mind, it shows itself: a behemoth tentacle-laden Great Old One. Its soul-crushing gaze locks with yours, and only then do you realize—Cthulhu Cometh.",,Duerradin,The Heir of Orcus,
CCC-AETHER02-01,The Heir of Orcus: Verse IV,https://www.dmsguild.com/product/301681/The-Heir-of-Orcus-Verse-IV-CCCAETHER0201,5-10,2,"Hat of Disguise
Candle of the Deep
Potion of Giant Strength (Hill)
Potion of Invulnerability","Hat of Disguise
This hat is made of the scalp of a powerful night hag killed long ago by Nurfenpurf. The scalp retains the original hairs from the hag; the hairs are brittle and smell of death.

Candle of the Deep
This candle emits an aura of insanity. The wax is carved in the shape of the Great Old One, Cthulhu. The wax never melts and is nearly unbreakable.","Game Over Man, Game Over!
Death to the Heir!","Game Over Man, Game Over!
Your mission is a failure. The forces of good sustained high levels of casualties and the Cult of the Heir successfully thwarted your goals.

Death to the Heir!
Your planning and mission were flawlessly executed! You dealt a significant blow to the Cult of the Heir this day. With the information you collected you can immediately begin seeking out hidden cells to destroy whatever remains of the Cult of the Heir.",,Ylraphon,The Heir of Orcus,
CCC-AETHER-02-03,One Step Ahead,https://www.dmsguild.com/product/334544/CCCAETHER0203-One-Step-Ahead,,,,,,,,,,
CCC-ALMOG-01-TALES01-01,What Lies Beneath,https://www.dmsguild.com/product/257958/CCCALMOG01-TALES0101-What-Lies-Beneath,1-4,4,"Potion of Healing
Bracers of Archery
Scroll of Magic Missile","Bracers of Archery (Bands of the Tharkul)
",,,,"Hawksroost, Thar",Tales of the Moonsea,
CCC-ALMOG-03-TALES03-01,Claws of Fury,https://www.dmsguild.com/product/250115/CCCALMOG03-TALES0301-Claws-of-Fury,11-16,4,"Belt of Giant Strength (Fire)
Potion of Greater Healing
Potion of Supreme Healing
Spell Scroll of Grasping Vine
Spell Scroll of Enhance Ability","Belt of Fire Giant Strength
This belt is made from plates of steel embossed with golden filigree connected by metal pins. A fire giants face adorns the buckle. The giant appears to be having a hearty laugh as she wears an enormous smile on her face.",,,,"Hawksroost, Thar",Tales of the Moonsea,
CCC-ALMOG-20-TALES01-04,Jaunt to the Center of Faerûn,https://www.dmsguild.com/product/284810/Jaunt-to-the-Center-of-Faerun,1-4,2,"Decanter of Endless Water
Heward's Handy Spice Pouch
Spell Scroll of Faerie Fire","Decanter of Endless Water
It is impossible to see the inside of this jet black flask while it is stoppered. Any time the stopper is removed, the user feels a sudden pang of dread, as if more than water is being released into the world.

Heward’s Handy Spice Pouch (Joys of Underdark Cooking)
The Joys of Underdark Cooking takes the form of a tattered book instead of a belt pouch. The book is decorated with the image of bioluminescent blue and purple mushrooms on the cover. A description in undercommon reads, “They can’t all taste the same, can they?” Users expend a charge by flipping the book to an appropriate page, and then the pinch of seasoning appears in a free hand.
    Anyone eating a meal seasoned by The Joys of Underdark Cooking feels fortunate and optimistic about what the future holds.",,,,Hawksroost,The Jade Curse (4),
