Adventure Code,Adventure Title,Tier,APL,Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,,Author,Treasure (GP),Min/Max XP Legacy,ACP,TP,Renown,Downtime
CCC-3MAGS01,Vormestrand's Scroll,1-4,1,7,,"Pipe of Smoke Monsters, Staff of Adornment",Tankard of Sobriety,,Great/Mediocre/Dismal Hooch!,,,N/A,N/A,7,7,1.75,17.5
CCC-6SWORDS-01,Six Swords Out of Hell,11-16,13,8,"Spell Scroll of Revivify, Spell Scroll of Incendiary Cloud, Potion of Fire Giant Strength",The Seventh Sword (Sun Blade),,,Banned: Maladomini,,,,,,,,
CCC-AETHER01-01,The Heir of Orcus: Verse I,1-4,3,2-4,"Scrolls: Comprehend Languages, Abosrb Elements",Helm of Comprehend Languages,,,"Knight of Holy Judgment, Cultist of Zariel",,,N/A,N/A,4,4,0.5,5
CCC-AETHER01-02,The Heir of Orcus: Verse II,1-4,3,4,,Dread Helm,Mariner's Armor (Breastplate),,"Chosen One, Rising Though the Ranks",,,N/A,N/A,4,4,1,10
CCC-AETHER02-01,The Heir of Orcus: Verse IV,5-10,,2,"Potion of Hill Giant Strength, Potion of Invulnerability",Hat of Disguise,Candle of the Deep,,"Game Over Man, Game Over!
Death to the Heir!",,,,,,,,
CCC-AETHER-02-03,One Step Ahead,1-4,3,2 - 4,Scroll of Enhance Ability,Wand of Magic Detection,Charlatan's Die,,,,,,,,,,
CCC-ALMOG-01,TALES01-01 What Lies Beneath,1-4,3,4,Potion of Healing,"Bands of the Tharkul (Bracers of
Archery)",,,,,,935,N/A,4,4,1,10
CCC-ALMOG-03,TALES03-01 Claws of Fury,11-16,13,4,"Scroll of Grasping Vines, Scroll fo Enhnace Ability, Porion of Supreme Healing, Antitoxin",Belt of Fire Giant Strength,,,,,,26500,15000/17500,4,8,1,10
CCC-ALMOG-20-TALES01-04,Jaunt to the Center of Faerûn,1-4,,2,Spell Scroll of Faerie Fire,Decanter of Endless Water,Heward's Handy Spice Pouch,,,,,,,,,,
CCC-ALMOG-24-DAGON02-02 ,A Glow in the Galenas,1-4,3,2,,Goggles of Night,,,Touched by Dagon,,,,,,,,
CCC-ALMOG-24-DAGON02-04,Beneath Ironfang Keep,5-10,,4,"Potion of Healing, Spell Scroll of Mage Hand",Cloak of the Manta Ray,,,Touched by Dagon,,,,,,,,
CCC-ALMOG-25-SALT01-05,How the Prison was Fed,1-4,,2,"Potion of Growth, Potion of Healing, Spell Scroll of Fireball",Helm of Comprehending Languages,Ear Horn of Hearing,,,,,,,,,,
CCC-ALMOG-26-DAGON01-01,Shadowed Bellview,1-4,,2,Potion of Healing,Bag of Holding,Candle of the Deep,,Touched by Dagon,,,,,,,,
CCC-ALMOG-27-DAGON01-02,Cove of Fallen Souls,1-4,,2,,Ring of Swimming,Dark Shard Amulet,,,,,,,,,,
CCC-ALMOG-28 DAGON01-03,The Drowning Woods ,1-4,3,2-4,,Immovable Rod,,,Touched by Dagon,,,,,,,,
CCC-ALMOG-ESC03-01,Thoughts Lost,1-4,3,4,,Helm of Comprehending Languages,,,,,,,,,,,
CCC-ALMOG-ESC03-02,Mind Blank,5-10,8,4,,Figurine of Wondrous Power (Silver Raven),,,,,,,,,,,
CCC-ALMOG-ESC03-03,Memory Leak,11-16,13,4,,Daern's Instant Fortress,Orb of Direction,,,,,,,,,,
