Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
Wrote a module? ,Submit your mod here,,,,,,,,,,,,
FR-DC-AEG-01,The Ambush,1-4,1,4,Potion of Healing,"Boots of Elvenkind, Compass property",Horn of Silent Alarm,,Disappointing,Joseph George,350,Riding Horse with saddle and tack (per character),
FR-DC-AEG-02,The Rescue,1-4,2,4,"Potion of Healing, Spell Scroll of Inflict Wounds","Cloak of Protection, Language property (Abyssal)",Dread Helm,,"We're Here, We Left the Rocks, Disappointing",Joseph George,500,Riding Horse with saddle and tack (per character),
FR-DC-AEG-03,The Escape,1-4,3,4,Potion of Healing,"Eyes of the Eagle, Sentinel property (Devils)",Rope of Mending,,"I'm a Demon Cultist Now, Ire of Kostchtchie, Killed by a Demon Cult, Rescued, We Failed",Joseph George,500,Riding Horse with saddle and tack (per character),
FR-DC-AEG-04,The School,1-4,4,4,"Potion of Healing, Spell Scroll of Cure Wounds, Spell Scroll of Comprehend Languages","Ring of Mind Shielding, Language property (Infernal)",Mystery Key,,"Blessing of the Boys, Ire of Mammon, Ire of Kostchtchie",Joseph George,500,,
FR-DC-AEG-05,The House in the Forest,5-10,6,4,Potion of Greater Healing,"Bracers of Defense, Guardian property",Hat of Wizardry,,We Found Them,Joseph George,5000,,
FR-DC-AEG-06,The Abandoned City,5-10,7,4,,"Greatsword +2, War Leader property","Chest of Preserving, Beacon property",Conjurer Wizard,Favor of Tanulia Aerendyl,Joseph George,5000,,
FR-DC-AEG-07,The Missing Adventurers,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Dispel Magic","Leather Armor +1, Guardian property",Candle of the Deep,,"Favor of Tanulia Aerendyl, Ire of Kostchtchie",Joseph George,5000,,"Awards an invalid custom spellbook not associated with an NPC stat block.
Adventure and summary award Leather Armor +1, player handout awards Studded Leather Armor +1."
FR-DC-AEG-08,The Lost Artifact,5-10,9,4,"Potion of Greater Healing, Spell Scroll of Hypnotic Pattern, Spell Scroll of Revivify","Half Plate +1, Sentinel property (Devils)",Orb of Direction,,"Favor of Tanulia Aerendyl, Ire of Kostchtchie",Joseph George,5000,,
FR-DC-AEG-09,What's in the Box?,5-10,9,4,Potion of Greater Healing (x3),"Rapier +2, Guardian property",Cloak of Billowing,,"Chosen by the Stone, Favor of Tanulia Aerendyl, Ire of Kostchtchie",Joseph George,5000,,
FR-DC-AEG-10,The Ritual,11-16,12,4,Potion of Superior Healing (x3),"Ioun Stone of Fortitude, Harmonious property",,,Fury of Kostchtchie,Joseph George,50000,,
FR-DC-AKU-01,Phantom's Lament,5-10,8,4,"Oil of Slipperiness, Spellwrought Tattoo of Enhance Ability, Spell Scroll of Spirit Guardians","Glamoured Studded Leather, Guardian property","Cast-Off Breastplate Armor, Song Craft property",,"Friend of Amara, Amara's Ire, The Abyss Stares Back",Kaithlyn Kuan,5000,,
FR-DC-AMAK-01,You Better Watch Out,5-10,8,4,"Potion of Gaseous Form, Potion of Psionic Fortitude, Spell Scroll of Magic Circle",Wand of Wonder,Pipe of Smoke Monsters,Archmage,,Alexander Klement,4600,"Holy Water (5), Tinkerer's Tools (2), Painter's Supplies, Woodcarver's Tools, Fine Clothes (2), Traveler's Clothes (5)",
FR-DC-ARCON-01,Mines and Monsters,5-10,8,2,Potion of Hill Giant Strength,Wand of Wonder,,,,Daniel Ellingsen,2500,,
FR-DC-BG,The Flying Flame,11-16,13,4,Mind Crystal (Heightened),"Dragonhide Belt +3, Harmonious property","Ear Horn of Hearing, Sentinel property (Aberrations)",,Blessing of Magic Resistance,Brian Balagot,50000,,
FR-DC-BMK-01,Phandelver and the Blood Moon Curse,5-10,8,4,"Potion of Healing, Keoghtom's Ointment, Spell Scroll of Protection from Poison","Warhammer +2, Beacon property",,Illusionist Wizard,"Blood Moon Curse, Badger Badger",Arthur Marques,4000,,Adventure also included as part of FR-DC-BMK as a five-adventure single document and may be recorded that way.
FR-DC-BMK-02,Phandelver and the Blood Moon Crypts,5-10,8,4,"Potion of Greater Healing, Mind Crystal (Empowered), Potion of Fire Breath","Bracers of Defense, Wicked property",,,"Blood Moon Curse, Grave Robbers",Arthur Marques,4000,,Adventure also included as part of FR-DC-BMK as a five-adventure single document and may be recorded that way.
FR-DC-BMK-03,Phandelver and the Blood Moon Coven,5-10,8,4,"Potion of Greater Healing, Oil of Slipperiness, Mind Crystal (Careful)","Wand of Binding, Sentinel property (Demons)",,Necromancer Wizard,"Trade Offer, No Deal, The Three Sisters",Arthur Marques,4000,,Adventure also included as part of FR-DC-BMK as a five-adventure single document and may be recorded that way.
FR-DC-BMK-04,Phandelver and the Blood Moon Behemoth,5-10,8,4,"Potion of Greater Healing, Oil of Slipperiness, Mind Crystal (Distant)","Half Plate of Resistance (Poison), Strange Material property (behir scale)",Candle of the Deep,,"Plumber, Behir's Bless",Arthur Marques,4500,"Climbing Kit, Flask or Tankard, Bullseye Lantern, Clothes (3), Hammer (3), Pick (3)",Adventure also included as part of FR-DC-BMK as a five-adventure single document and may be recorded that way.
FR-DC-BMK-05,Phandelver and the Blood Moon Devourer,5-10,8,4,"Potion of Greater Healing, Spell Scroll of Speak with Dead, Arrows +1 (x5)","Necklace of Prayer Beads (Favor x4, Blessing), Harmonious property",,Diviner Wizard,"Wolfbane, Psst sst",Arthur Marques,5000,"Splint Armor, Half Plate Armor",Adventure also included as part of FR-DC-BMK as a five-adventure single document and may be recorded that way.
FR-DC-BTW-01,Fathers Conscience,1-4,3,4,,Staff of the Python,Hat of Wizardry,,,Bernhard Staneker,400,,
FR-DC-BTW-02,Fathers Curse,1-4,3,4,,,,,,Bernhard Staneker,,,
FR-DC-BTW-03,Fathers Mistakes,5-10,8,4,,,,,,Bernhard Staneker,,,
FR-DC-BTW-04,Fathers Decision,5-10,6,4,,,,,,Bernhard Staneker,,,
FR-DC-CASE-01,Under Lock and Key,1-4,3,2,Potion of Psionic Fortitude,"Pearl of Power, Harmonious property",,,"A Mentor's Hope, A Mentor's Sorrow",Chris Andaya,250,,
FR-DC-CGB-01,Brewhouse Hunters,1-4,3,4,,,,,,David Sklenicka,,,
FR-DC-CGB-02,Star-Crossed,1-4,3,4,,,,,,David Sklenicka,,,
FR-DC-CGB-03,Feywild Follies,1-4,3,4,,,,,,David Sklenicka,,,
FR-DC-CLASSIC-01,Tavern Rats,1-4,3,2,,,,,,Steven Truong,,,
FR-DC-CLASSIC-02,Skeleton Crew,1-4,3,2,"Potion of Healing, Potion of Comprehension, Spell Scroll of False Life","Periapt of Wound Closure, Beacon property","Ruby of the War Mage, Beacon property",,Bone to be Wild!,Steven Truong,250,"Dagger, Leather Armor, Greataxe, Shortsword, Shortbow",Ruby of the War Mage listed in Character Rewards but not actually awarded by adventure. Storefront discussion indicates it should be awarded by boss encounter.
FR-DC-CONMAR-00-01,A Night at the Frumious Bandersnatch,1-2,1,1,Potion of Healing,"Hat of Vermin, Sentinel property (Insects)",,,,Karianne Fog Heen,17,,
FR-DC-CONMAR-00-02,Oar’s Rest and Below,1-2,1,1,Potion of Healing,"Clockwork Amulet, Beacon property",,,,Karianne Fog Heen,11,,
FR-DC-CONMAR-01,Tower Up!,1-4,2,2,"Potion of Healing, Spell Scroll of Alarm, Spell Scroll of Protection from Evil and Good","Cloak of Protection, Guardian property",,,,Karianne Fog Heen,250,Alchemist's Supplies,
FR-DC-CONMAR-02,The Colour of Dragons,5-10,8,4,Potion of Fire Breath,"Necklace of Prayer Beads (Blessing x2, Curing, Wind Walking), Sentinel property (Dragons)",,,,Karianne Fog Heen,2000,,
FR-DC-CONMAR-03,The Scent of Sawdust,1-4,3,2,,,,,,"Miriam Moe Lassen, Martine Lassen",,,
FR-DC-CURSE,Is this a Curse?,1-4,3,4,Dust of Dryness,"Wraps of Unarmed Prowess +1, Waterborne property","Chest of Preserving, Gleaming property",,,Jeremy Cheong,500,"Healer’s Kit (4), Vial of Holy Water (2), Silvered Scimitar, Holy Symbol (Amulet)",
