,Adventure Title,Level Range,APL,Runtime,Consumables,Magic Items,,Story Awards,Treasure (GP)
PO-BK-1-01,Autumn Burns Red,5-10,8,4-6,"Experimental Dram No.1 (Potion of Invulnerability), Experimental Dram No. 2 (Potion of Resistance -Psychic)",Balhannoth Flesh Fold (Shadowfell Brand Tattoo),,,
PO-BK-1-02,Trust No One,5-10,,4-6,"Potion of Healing, Spell Scroll - Calm Emotions",Duplicitous Manuscript,Heward’s Handy Spice Pouch,,
PO-BK-1-03,Red Masks,5-10,,4-6,"Potion of Heroism, Spell Scroll (Dispel Magic)",Barrier Tattoo,,"Heroes of Derlusk, Lost Bridge, Traitor",
PO-BK-1-04,The City in the Mist,11-16,13,4,"Elixir of Health, Spell Scroll (Fire Shield)",Tentacle Rod,Silver Dragon Scale Armor,"The Lost Diadem, Tasharra's Token",
PO-BK-1-05,Far in the Forest,11-16,13,4,,"Studded Leather Armor, +2",Cape of the Mountebank,"Ally of Dagesk, Friend of the Forest",
PO-BK-1-06,Beyond the Starry Veil,11-16,13,4,"Potion of Mind Reading, Oil of Etherealness",Ring of Shooting Stars,Far Realm Shard,,
PO-BK-1-07,Beyond this Portal,17-20,18,4,"Potion of Flying, Potion of Supreme Healing",Rod of Absorption,,,
PO-BK-1-08,Dark Side of the Rune,17-20,18,4,"Potion of Speed, Potion of Storm Giant Strength",Greater Silvered Sword,,,
PO-BK2-01,The Thayan Connection,5-10,8,2-4,Potion of Growth,Crystal Blade (Scimitar),Lock of Trickery,,4000-5000
PO-BK2-02,Some Assembly Required,5-10,8,4,Oil of Slipperiness,Atlas of Endless Horizons,"Moon-Touched Sword, Talking Doll",,5000
PO-BK2-03,What Dreams May Come,5-10,8,2-4,Potion of Resistance (lightning),Iron Bands of Bilaro,"Dread Helm, Enduring Spellbook",,"5,000"
PO-BK-02-04,Out of the Shaar,5-10,8,2-4,"Potion of Greater Healing, Five +2 arrows",Figurine of Wondrous Power (Golden Lions),,,
PO-BK-02-05,Weird Tales,5-10,8,2-4,"Potion of Heroism, Oil of Slipperiness",Staff of Swarming Insects,,,
PO-BK-02-06,First Contact,5-10,8,2-4,"Bead of Force, Elemental Gem (Yellow), Potion of Heroism",Ring of X-Ray Vision (Strange Material minor property),,,
PO-BK-02-07,At Sword's Point,11-16,13,2-4,"Dust of Disappearance, Potion of Supreme Healing, Spell Scroll of Sending",Blast Scepter,,,
PO-BK-02-08,Straight Through the Heart,11-16,13,2-4,"Oil of Sharpness, Scroll of Fizban's Platinum Shield",Robe of Stars,,,
PO-BK-02-09,Star Crash,11-16,13,2-4,"Potion of Invisibility, Scroll of Synaptic Static, Scroll of Symbol",Amethyst Lodestone,,,
PO-BK-02-10,A Grim and Ravenous Arrival,17-20,18,2-4,"Arrow of Dragon Slaying, Potion of Dragon's Majesty",Cubic Gate (Locations in note),,,75600
PO-BK-3-01,A Pirate's Life for Me,1-4,3,4,,,,,
PO-BK-3-02,Shoreline Spelunking,1-4,3,4,,,,,
PO-BK-3-03,Smoke on the Water,1-4,3,4,,,,,
PO-BK-3-04,Dead in the Water,1-4,3,4,,,,,
PO-BK-3-05,Into the Shining Sea,5-10,8,4,,,,,
PO-BK-3-06,Trouble Brewing in Port Nyanzaru,5-10,8,4,,,,,
PO-BK-3-07,On Pirate's Honor,5-10,8,4,,,,,
PO-BK-3-08,Weeding Out Trouble,5-10,8,4,,,,,
PO-BK-3-09,The Isle of Death,5-10,8,4,,,,,
PO-BK-3-10,Hymn of Love,5-10,8,4,,,,,
PO-BK-3-11,Covenant of the Blood Goddess,17-20,18,4,,,,,
PO-BK-3-12,Rule or Ruin,11-16,13,4,,,,,
PO-BK-3-13,A Ship on Silent Seas,5-10,8,4,,,,,
PO-BK-4-01,The Book and the Blade,5-10,8,4,,,,,
PO-BK-4-02,Shadow Kingdom,5-10,8,4,,,,,
PO-BK-4-03,,5-10,8,,,,,,
PO-BK-4-04,Night Music,5-10,8,4,,,,,
PO-BK-4-05,"Old Shadows, New Darkness",11-16,13,4,,,,,
PO-BK-4-06,,,,,,,,,
PO-BK-4-07,The Final Contingency,11-16,13,4,,,,,
PO-BK-4-08,Line in the Sand,17-20,18,4,"Potion of Supreme Healing, Spell Scroll of Incendiary Cloud",Robe of the Archmagi,,,
PO-BK-5-01,Paragons of Wrath,5-10,8,4,,,,,
PO-BK-5-02,The Anchorite,5-10,8,4,,,,,
PO-BK-5-03,By Land and Sea,5-10,8,4,,,,,
PO-BK-5-04,Dark Ascension,11-16,13,4,,,,,
PO-BK-5-05,Descent into Dragomount,11-16,13,4,,,,,
PO-BK-5-06,Death's Door,11-16,13,4,,,,,
