Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
Wrote a module? ,Submit your mod here,,,,,,,,,,,,
PS-DC-AUG-01,Celestia Has Fallen,17-20,18,4,,"Plate Armor +3, Guardian property",,,"Boon of Recovery, Savior of the Seven Heavens",Johnny Smith,100000,,
PS-DC-AUG-02,The Dark Sun,17-20,18,4,,"Ring of Spell Turning, Wicked property",,,"Boon of Invincibility, Cyric is Free I Swear It!",Johnny Smith,50000,,
PS-DC-BINGO-1,Lorem Ipsum,5-10,8,4,"Spell Scroll of Protection from Energy, Spell Scroll of Warp Sense","Mimir, Language property (Modron)",,,The Clearing at the End of the Path,Sean Ware,5000,,
PS-DC-BINGO-2,Esse Est Percipi,5-10,8,4,"Spell Scroll of Spray of Cards, Spell Scroll of Tiny Servant","Astral Shard, Harmonious property","Clockwork Amulet, Song Craft property",,"Hic Sunt Dracones, Out of Time, This Will Go Down on Your Permanent Record, A Moment of Your Time, Your Attention Please, Your Last Breath",Sean Ware,5000,,
PS-DC-BLACKFLAME-01,Blackflame in the Broken Lands,11-16,13,4,"Spell Scroll of Gate Seal, Sensory Stone",Breastplate +2 OR Wand of the War Mage +3 OR Cauldron of Rebirth OR Ioun Stone of Insight,,"Archmage, Nagpa",,Nick Stefanski,45000,,
PS-DC-CAKE-01,CAKE WARS,1-4,3,2,"Potion of Healing, Spell Scroll of Frost Finger, Mind Crystal (Subtle)",Gloves of Missile Snaring,,,"Enemy of Cakers, Porte Gateaux Lifetime Member",Steven Truong,250,"Thug equipment (multiple), Cult Fanatic equipment (multiple)",
PS-DC-CAKE-02,CAKE WARS II,1-4,3,2,,,,,,Steven Truong,,,
PS-DC-CAR-01,13 Hours in Sigil,17-20,17,4,"Mind Crystal (Quickened), Potion of Invisibility, Scroll of Protection from Humanoids, Scroll of Protection (Undead)",Ring of Spell Turning,Chest of Preservation,,,JD McComb,50000,,
PS-DC-CEG-02,Snakes on a Planescape,17-20,20,4,,"Figurine of Wondrous Power (Obsidian Steed), Illusion property",Ruby of the Warmage,,Boon of Quick Casting,Bennett Ellis and Dante Santos,50000,,
PS-DC-DD-01,Shadows on the Wall,1-4,3,4,,,,,,Steven Truong,,,
PS-DC-DDD,A Devious Deva's Deduction,5-10,8,4,"Spellwrought Tattoo of Speak with Dead, Spell Scroll of Revivify, Potion of Radiant Resistance","Astral Shard, Harmonious property","Clockwork Amulet, Wicked property",,,Franz Bedonia,4800,,
PS-DC-DRAGON24-01,At the Edge of No Tomorrows,5-10,8,4,,,,,,David Sklenicka,,,
PS-DC-DRAGON24-02,The Merchant of Ruin,5-10,8,4,"Deck of Miscellany, Potion of Hill Giant Strength, Spell Scroll of Speak with Plants","Spear +2, Guardian property",Pipe of Smoke Monsters,,"Wanted by the Harmonium, A Friend on the Inside, A Thousand WOrds",David Sklenicka,5000,,No Rewards page
PS-DC-DRAGON24-03,The Birdcage,5-10,8,4,,,,,,David Sklenicka,,,
PS-DC-DRAGON24-04,The Gallery of Souls,5-10,8,4,,,,,," Denise “Celticdenefew” Atwood, David Sklenicka",,,
PS-DC-DRAGON24-05,Echoes of Future's End,5-10,8,4,,,,,,David Sklenicka,,,
PS-DC-ELEMENT-DEATH-01,Rocky Road,17-20,18,4,,"Plate Armor +3, Strange Material property (stone slabs)","Half Plate of Gleaming, Strange Material property (stone slabs)",,"Boon of Resilience, Cradle of Evil Earth",Death 101010,100000,,
PS-DC-ELEMENT-DEATH-02,And Then They Attacked,17-20,18,4,,"Studded Leather Armor +3, Beacon property","Enduring Spellbook, Language property (Primordial)",,"Boon of the Fire Soul, Cradle of Evil Fire, Mist Sworn",Death 101010,100000,,
PS-DC-ELEMENT-DEATH-03,Saturated Seas,17-20,18,4,"Spellwrought Tattoo of Greater Restoration, Spellwrought Tattoo of Mass Cure Wounds","Platinum Scarf, Language property (Druidic)","Pole of Collapsing, Language property (Thieves' Cant)",,"Charm of Talons, Cradle of Evil Water, Mist Sworn",Death 101010,100000,,
PS-DC-ELEMENT-DEATH-04,Skulls and Skies,17-20,18,4,"Spellwrought Tattoo of Death Ward, Spellwrought Tattoo of Mass Cure Wounds","Moonblade (Rapier) with Attunement requirements OR Armor of Invulnerability, Strange Material property (ribcage) OR Staff of Power, Strange Material property (right arm) OR Dacing Sword (Rapier), Strange Material property (left arm) OR Ring of Regeneration","Veteran's Cane, Guardian property",,"Charm of Restoration, Cradle of Evil Air, Mist Sworn",Death 101010,100000 per character,,
PS-DC-FOT-01,When Faunel Attacks: Riverwood Under Siege,1-4,3,4,,,,,,Joshua Nelson,,,
PS-DC-GG-01,Fatebreakers,17-20,18,4,"Potion of Heroism, Potion of Invulnerability","Rod of Security, Wicked property","Clockwork Amulet, Language property (Modron)",,"Charm of the Fates, Fate Broken, Fate Sealed",Chubby Goblin Games,100000,,
