Adventure Code,Adventure Title,Level Range,APL,Runtime,Consumables,Magic Items,,Seed,Series,Other/Special,Author
DC-POA-AOT01-02,Northern Democracy,1-4,3,4,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,,,
DC-POA-CBB-01,Twirling Towards Oblivion ,1-4,3,4,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,,,
DC-POA-CONMAR-21,For My People ,1-4,3,4,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,,,
DC-POA-DES-05C,We Calmed the Tides of War ,1-4,3,4,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,"From the Midnight Sun
Part 3 of 4",,
DC-POA-EH-1,Horsing Around ,1-4,1,1,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,,,
DC-POA-GSP02-01H,The Arrival of Mr. Sorrow ,1-4,1,2,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,"Factions Reawakened (Harpers)
Part 1 of 4",,
DC-POA-SN-01,The Rider in Black ,1-4,1,4,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,"The Savage North
Part 1 of 2",,
DC-POA-ZF01,Undisclosed Ordeals ,1-4,3,4,Spell Scroll of Alter Self,Alchemy Jug,Cloak of Many Fashions,A Dark Horse,,,
DC-POA-CBB-05,Menace At The Strandwolf Peaks ,5-10,8,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,,,
DC-POA-CONMAR-18,The Nightshade Sinners ,5-10,8,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,"Frost Mandragora Diptych
Part 2 of 2",,
DC-POA-DRAGON-02,Hearing the Call ,5-10,7,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,"Reaching through Space and Time Series
Part 2 of 3",,
DC-POA-GARYXIII-02,A New Place to Call Home ,5-10,8,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,"To Survive the Night
Part 2 of 5",,
DC-POA-INAS-02,Left Behind ,5-10,7,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,,,
DC-POA-TCW-ACW-5,A Thousand Years Lost ,5-10,8,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,"A Cold War
Part 5 of 5",,
DC-POA-TDG01-08,Mountain of Madness ,5-10,8,4,"Ammunition +1 (Arrow, bone tipped)",Mirror of the Past,"Mithral Armor (Scale Mail, barding only)",Ageless Hunger,"Coins of the Elder Evil
Part 8 of 10",,
DC-POA-CODEX-01,Bear the Lode,1-4,3,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"Ursa Major
Part 1 of 3",,
DC-POA-CONMAR-14,Seal Team Sticks ,1-4,3,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,,,
DC-POA-COULEE21-03,Beasts of Burden ,1-4,3,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"Legends of the Icewind Dale Snipe
Part 3 of 4",,
DC-POA-DCAF01,Let It Goat ,1-4,3,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,,,
DC-POA-GSP01-01,A Wolf's Whisper ,1-4,1,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"The Crimson Star
Part 1 of 2",,
DC-POA-KCB-02,Big ,1-4,3,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,,,
DC-POA-NB-01,Iruladoon Awakens ,1-4,1,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,,,
DC-POA-LEGIT-SV-03,The Beggar's Blood ,1-4,4,3,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"Shrouded Vaults
Part 3 of 3",,
DC-POA-PESCH-01,To Appease Hunger ,1-4,2,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"Coins of the Elder Evil
Part 1 of 10",,
DC-POA-PND-3,The Watcher in the Attic ,1-4,3,2,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"Strange Case of Erland Forsk
Part 2 of 4",,
DC-POA-TTP01-01,The Voice Bringer,1-4,2,4,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,,,
DC-POA-WI-TTT-01,Wailing Ice: Trouble and Turmoil in Termalaine ,1-4,2,2,Potion of Healing,Pole of Angling,Boots of the Winterlands,Awake and Afraid,"Wailing Ice
Part 1 of 1",,
DC-POA-AOT01-01,Counteroffer ,1-4,3,4,Spell Scroll of Frost Fingers,Candle of the Deep,Circlet of Blasting,Breaking Ice-olation,,,
DC-POA-CD-01,Icedawn Over Ten Trail ,1-4,3,4,Spell Scroll of Frost Fingers,Candle of the Deep,Circlet of Blasting,Breaking Ice-olation,,,
DC-POA-CONMAR-17,Unrelenting ,1-4,3,2,Spell Scroll of Frost Fingers,Candle of the Deep,Circlet of Blasting,Breaking Ice-olation,"Oar's Rest Adventure
Part 3 of 3",,
DC-POA-COULEE21-02,Driven Like the Snow ,1-4,2,4,Spell Scroll of Frost Fingers,Candle of the Deep,Circlet of Blasting,Breaking Ice-olation,"Legends of the Icewind Dale Snipe
Part 2 of 4",,
