Adventure Code,Adventure Title,Level Range,APL,Runtime,Consumables,Magic Items,,Fey Pacts,Story Awards,Author,Treasure (GP),Other/Special
Wrote a module? ,Submit your mod here,,,,,,,Everything in this column is NOT eligible as a DM Service Reward.,,,,
WBW-DC-AA-ASHALON-01,Beneath the Eternal Glacier,5-10,8,4,"Potion of Greater Healing, Potion of Resistance (Cold)","Elven Chain, Temperate property","Cloak of Billowing, Language property (Sylvan)","Fey Pact Item: Dancing Longsword, Harmonious property","Kingdom of Isolation, Night Eternal, The Realms Are One, Winterborn",,4000,"Antgaladion, Dancing Longsword with the Harmonious property (Greater Fey Pact item)"
WBW-DC-AA-ASHALON-02,Under the Cover of Stars,5-10,8,4,,Silver Horn of Valhalla,Wand of Pyrotechnics,"Fey Pact Item: +3 Arcane Grimoire, Guardian minor property

Magical Gift of Training: Animal Handling or Arcana",Astral Apprentice,,4000,"Fey Pact: Ananeira's Research Journal (Arcane Grimoire +3 with the Guardian property), magical gift of training Animal Handling or Arcana"
WBW-DC-ABC-01,One Last Time,5-10,8,4,,Mantle of Spell Resistance,,,,,5000,
WBW-DC-AEG-01,Why Aren't We Changing?,5-10,8,4,,Ring of Free Action,Cloak of Many Fashions,,"Favor of Rutherford, the Everchanging Lord",,3000+5d100,
WBW-DC-AEG-02,Making Changes,5-10,8,4,"Elemental Gem (Yellow Diamond), Elemental Gem (Red Corundum)",Elven Chain,,,"Favor of Flombinard, the Everchanging Lord",,5000,Adventure was published prior to reward revisions and includes a Staff of Frost in the PDF. The author in a discussion thread on DM's Guild indicates the magic item should be Elven Chain.
WBW-DC-AH-01,Afraid of  the Dark,5-10,8,4,Potion of Greater Healing,Pipe of Smoke Monsters,Elven Chain OR Staff of the Woodlands,Less Pact Gifts: Boon of Fey Kinship OR Charm of Heroism,"King Cinaed, The Vengeful Prince, The Lost Prince",,2500 or 5000,
WBW-DC-AMQ-01,Feywild Name Giver,1-4,2,4,"Potion of Healing, Oil of Slipperiness, Potion of Growth",Cloak of Protection,,,,,200,
WBW-DC-AMQ-02,Feywild Robbery,1-4,3,4,"Potion of Healing, Oil of Slipperiness",Slippers of Spider Climbing,Cloak of Many Fashions,,,,500,
WBW-DC-AMQ-03,Feywild Trial,1-4,4,4,"Potion of Healing, Potion of Hill Giant Strength",Pearl of Power,Talking Doll,,,,500,
WBW-DC-AMQ-04,Brew me a favor,5-10,8,2,"Potion of Greater Healing, Potion of Growth, Spell Scroll of Speak with Dead","Ring of Free Action, Sentinel property (Hag)",,,,,5000,
WBW-DC-AMQ-05,The Dungeon of Smelly Doom,5-10,8,4,"Potion of Greater Healing, Potion of Resistance (Poison), Spell Scroll of Dispel Magic",Elven Chain,Pole of Collapsing,,,,5000,
WBW-DC-ANDL-01,The Petrified Forest,5-10,8,4,"Potion of Growth, Potion of Water Breathing, Dust of Disappearance","Mantle of Spell Resistance, Temperate property","Wand of Smiles, Guardian property",The magical gift of training: Gaming Set (dice) Tool Proficiency,Hero of Andelein or Banned from Andelein,,5000,The magical gift of training: Gaming Set (dice) Tool Proficiency
WBW-DC-ANDL-02,The Bleeding Veil,5-10,8,4,"Spell Scroll of Revivify, Spell Scroll of Comprehend Languages, Potion of Hill Giant Strength","Ring of Free Action, Harmonious property","Cloak of Billowing, Language property (Netherese)",,"Travel Takes Time, Magic Items of Truth Telling, The Curse",,5000,
WBW-DC-ANDL-03,The Crossings of Fate,5-10,8,4,"Potion of Resistance (Psychic), Potion of Resistance (Force), Potion of Resistance (Necrotic)","Staff of the Woodlands, Beacon property","Cloak of Many Fashions, hidden message property","Magical Gift of Training: Insight

Fey Pact Item: Scimitar of Speed","Vecna's Eye, Bridge Between Worlds, Knight of the Feywild",,5000,"Magical Gift of Training: Insight, Greater Fey Pact - Scimitar of Speed"
WBW-DC-ARCON-01,The Multivertshus,1-4,3,2,"Bead of Nourishment, Potion of Healing, Spellwrought Tattoo of Heroism","Pearl of Power, Language property (Goblin)",,,,,500,
WBW-DC-ARCON-02,Way of the Wedding,5-10,8,2,"Potion of Animal Friendship, Potion of Hill Giant Strength, Potion of Resistance (Psychic)",Ring of Free Action,,,,,2500-4000,
WBW-DC-ARCON-03,A Forest of Memories,1-4,3,2,Potion of Growth,Prosthetic Limb,,,,,405,
WBW-DC-ARCON-04,The Multivertshus II,1-4,3,2,"Bead of Nourishment, Potion of Healing, Spellwrought Tattoo of Comprehend Languages","Instrument of the Bards (Doss Lute), Harmonious property",,,,,500,
WBW-DC-AUG-01,Last Hour,5-10,8,4,"Potion of Greater Healing, Potion of Growth","Pipe of Smoke Monsters, Guardian property","Boots of Speed, Waterborne property",Fey Pact Item: +3 Bloodwell Vial OR Efreeti Bottle,"Sersa's Guardian, Trapped in Sersa",,5000,
