Adventure,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Treasure (GP) Legacy,Min/Max XP Legacy,ACP,TP,Renown,Downtime
,Season 3 DMsGuild Bundle,,,,,,,,,,,,,,
DDEX3-1,Harried in Hillsfar*,1 - 4,1,2,"Potion of Healing, Alchemist's Fire, Potion of Fire Breath, Vial of Acid, Holy Water, Scroll of Comprehend Languages, Scroll of False Life",,,,,1000,375/500,2,2,0.5,5
DDEX3-2,Shackles of Blood,1 - 4,3,4,"Potion of Healing, Scroll of Dimension Door",a +1 Rapier,,,,750,900/1200,4,4,1,10
DDEX3-3,The Occupation of Szith Morcane,5 - 10,8,4,"Potion of Greater Healing, Antitoxin",Staff of Swarming Insects,,,,2000,4500/6000,4,4,1,10
DDEX3-4,It's All in the Blood,11 - 16,12,8,"Potion of Fire Giant Strength, Potion of Flying, Potion of Greater Healing, Potion of Superior Healing; Spell Scrolls: Cone of cold, Fire shield, Globe of Invulnerability, Hold Monster, Prismatic Spray, Stoneskin, True Seeing",A +3 Greatsword*,Ioun Stone of Regeneration,"Gabber Forth's Spellbook,",Story Award: A Deal with a Devil.,16300,17250/23000,8,16,2,20
DDEX3-5,Bane of the Trade Ways,1 - 4,3,4,"Potion of Heroism, Potion of Healing",a +1 Shield,,,"Story Awards: Oh, What a Slaver You'll Make // Boon of Bitterwood",50 or 235*,450/600,4,4,1,10
DDEX3-6,No Foolish Matter,1 - 4,3,2,Potion of Healing,The Pipes of the Sewers,,,,300,450/600,2,2,0.5,5
,,,,,,,,,,,,,,,
DDEX3-7,Herald of the Moon,5 - 10,8,4,"Potion of Animal Friendship, Scroll of Protection (Plants)",Shadowsong (Oathbow),,Ilztoj A'Qaran's Spellbook,,2700,4500/6000,4,4,1,10
DDEX3-8,The Malady of Elventree,5 - 10,8,4,Potion of Superior Healing; Spell Scroll: Lesser Restoration,Alchemy Jug,,,Story Award: A Taste of Madness,2225,4500/6000,4,4,1,10
DDEX3-9,The Waydown,5 - 10,8,4,"Potion of Greater Healing, Antitoxin; Spell Scroll: Greater Restoration",Instrument of the Bards (Canaith Mandolin),,,,2200,4500/7500,4,4,1,10
DDEX3-10,Quelling the Horde,1 - 4,3,4,"Potion of Healing, Alchemist's Fire",Wand of the War Mage +1,,,,800,900/1200,4,4,1,10
DDEX3-11,The Quest for Sporedome,5 - 10,8,2,"Potion of Greater Healing, Potion of Diminuation",Half-Plate of Poison Resistance,,,Story Award: In League with the Seer / Mmm… Tastes Like Sanity,1600 or 2000,2250/3000,2,2,0.5,5
DDEX3-12,Hillsfar Reclaimed,1 - 4,3,2,Scroll of Disguise Self,Eyes of Minute Seeing,,,,315,450/600,2,2,0.5,5
DDEX3-13,Writhing in the Dark,5 - 10,8,2,"Potion of Poison, Potion of Greater Healing",Rod of the Pact Keeper +2,,,,985 or 1585,2250/3000,2,2,0.5,5
DDEX3-14,Death on the Wall,1 - 4,3,2,"Assasin's Blood, Serpent Venom",Bracers of Archery,,,Story Award: Friends in High Places,350,450/600,2,2,0.5,5
DDEX3-15,Szith Morcane Unbound,5 - 10,8,4,"Potion of Greater Healing, Potion of Firebreath",Ring of Protection +1,,Spider-Hide Spellbook,,7000,4500/6000,4,4,1,10
DDEX3-16,Assault on Maermydra,11 - 16,13,8,"Potion of Heroism, Potion of Greater Healing, Potion of Superior Healing; Various Spell Scrolls (See notes)","Robe of Stars, Demon Armor","Quarterstaff +1, Shortbow +1",,Story Award: Shared Valor,18300,17250/23000,8,16,2,20
,,,,,,,,,,,,,,,
DDEP3-T1,"Blood Above, Blood Below",1 - 4,,4,Potion of Healing,Javelin of Lightning,Pearl of Power (Hungry quirk),,,1200,900/1500,4,4,1,10
DDEP3-T2,,5 - 10,,4,Potion of Healing,"Elven Chain (Language minor property, Undercommon)",Rimesplitter (+2 Greataxe),,,5800,4500/7500,4,4,1,10
DDEP3-T3,,11 - 16,,4,,Belt of Fire Giant Strength,Ioun Stone (Insight),,,48450,7875/13125,4,8,1,10
,,,,,,,,,,,,,,,
,Contributed by Gametank89,,,,,,,,,,,,,,
