Adventure,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Treasure (GP) Legacy,Min/Max XP Legacy,ACP,TP,Renown,Downtime
DDAL07-01,A City on the Edge (5 parts) ,1-4,1,1,Potion of Healing,,,,Story Award: Cute and Scaly,100,75/100,1,1,0.25,2.5
DDAL07-01,,,1,1,"Potion of Healing, Alchemist's Fire",,,,Story Award: The Thrill of Victory,110,75/100,1,1,0.25,2.5
DDAL07-01,,,1,1,Potion of Poison Resistance,,,,Story Award: Snakes on a Brain,90,75/100,1,1,0.25,2.5
DDAL07-01,,,1,1,"Alchemist's Fire, Scrolls of Healing Word, Protection from Evil and Good",,,,,100,75/100,1,1,0.25,2.5
DDAL07-01,,,1,1,"Potions of Animal Friendship, Healing, Poison",,,,Story Award: The Trusting Triceratops,150,75/100,1,1,0.25,2.5
DDAL07-02,Over the Edge (5 parts),5-10,5,1,Potion of Greater Healing,,,,,4100,750/1000,1,1,0.25,2.5
DDAL07-02,,,5,1,"Potion of Poison, Potion of Invulnerability",,,,Story Award: Honorary Clan Member,2100,750/1000,1,1,0.25,2.5
DDAL07-02,,,5,1,"Potions of Resistance (Psychic), Animal Friendship",,,,,2600,750/1000,1,1,0.25,2.5
DDAL07-02,,,5,1,"Spell Scrolls of Remove Curse, Tongues, Protection from Aberrations Scroll",,,,,3600,750/1000,1,1,0.25,2.5
DDAL07-02,,,5,1,Potion of Water Breathing,,,,Story Award: Chosen of Ubtao,2100,750/1000,1,1,0.25,2.5
DDAL07-03,A Day at the Races,1-4,3,2,Spell Scroll of Ice Knife,Quarterstaff +1,,,"Story Awards: First to Race; Winner, Winner, Raptor Dinner",1035,450/600,2,2,0.5,5
DDAL07-04,A Walk in the Park,1-4,3,2,Potion of Healing (2),Goggles of Night,,,,100 - 200,450/600,2,2,0.5,5
DDAL07-05,Whispers in the Dark,1-4,3,2,"Potion of Healing (4), Spell Scroll of Warding Bond",Pearl of Power,,,Story Award: The Night Serpent Comes,200,450/600,2,2,0.5,5
DDAL07-06,Fester and Burn,5-10,8,2,Potion of Poison (2),Mace of Smiting,,,Story Award: Necromance-Me,1750,2250/3000,2,2,0.5,5
DDAL07-07,Rotting Roots,5-10,8,2,,Rope of Entanglement,,,,3850,2250/3000,2,2,0.5,5
DDAL07-08,Putting the Dead to Rest,5-10,8,2,"Potion of Necrotic Resistance, Potion of Greater Healing",Staff of the Woodlands,,,,1650,2250/3000,2,2,0.5,5
DDAL07-09,Unusual Opposition,11-16,13,4,"Potion of Speed, Potion of Greater Healing",Bitter Wrath (Frostbrand Rapier),,,Story Award: Blackwater Twist,~7212,10125/13500,4,8,1,10
DDAL07-10,"Fire, Ash, and Ruin",11-16,13,4,Spell Scroll of Hallow,Krahharuan Fork (+3 Pike),,,,12220,10125/13500,4,8,1,10
DDAL07-11,A Lesson in Love,11-16,13,4,"Potion of Fire Giant Strength, Potion of Speed","Love's Bite (Nine Lives Stealer, Longsword)",,,Story Award: Ire of the Merchant Princes,27800,10125/13500,4,8,1,10
DDAL07-12,In Search of Secrets,11-16,13,4,,Staff of Striking,,,Story Award: Nightmare Warrior,7400,10125/13500,4,8,1,10
DDAL07-13,Old Bones and Older Tomes,11-16,13,4,"Potion of Greater Healing (2), Potion of Flying, Scroll of Death Ward",Wand of Polymorph,,,Story Award: Verse vs. Verses,9500,10125/13500,4,8,1,10
