Source,Chapter Title,Level Range,Recom. Level,Page Numbers,Consumables,Magic Items,,Spellbooks,Other
DDHC-DIA-01,Encounters in Avernus,,,,,,,,
,Ch 1 - Avernus Encounters,,,4-10,,,,,
,Boney Grab Bag,,,,Spell Scroll of Guidance,"Charlatan's Die, Lock of Trickery, Mariner's Armor",Mariner's Armor,,
DDHC-DIA-01,Derelict War Maching,,,,Soul Coin,,,,
DDHC-DIA-01,Dretch Marks,,,,2x Soul Coins,"Moontouched Longsword, Ear Horn of Hearing",Boots of Speed,,
DDHC-DIA-01,Poppet Masters,,,,,Poppet,,,
DDHC-DIA-01,Stirge Swarm,,,,,Periapt of Wound Closure,,,
DDHC-DIA-01,Ch 2 - River Styx Encounters,,,11-15,,,,,
DDHC-DIA-01,Celestial Spy,,,,,,,,Blessing of Protection
DDHC-DIA-01,Days of Hunter,,,,5x Soul Coins,,,,
DDHC-DIA-01,For the Glory of Isgard,,,,,Horn of Valhalla,,,
DDHC-DIA-01,Gramma Valar's Barge,,,,,,,,
DDHC-DIA-01,Wandering Spirit,,,,Charm of Feather Falling,,,,
DDHC-DIA-01,Elturel Encounters,,,16-20,,,,,
DDHC-DIA-01,The Experiment,,,,,,,,Uncommon Item - DMs Choice
DDHC-DIA-01,Alchemist Shop,,,,10x Alchemist Fire,,,,
DDHC-DIA-01,Forbidden Delights,,,,"Potion of Greater Healing, Potion of Diminution, Potion of Poison, Elixer of Health, Potion of Growth",,,,
DDHC-DIA-01,Encounter Chains,,7,21-,,,,,
DDHC-DIA-01,Shocking Curiousity,,,,,Ioun Stone of Absorption,,,
DDHC-DIA-01,Burning Ambition,,,,,,,,Champions of the Dragon Quee
DDHC-DIA-01,The Serpent's Betrayal,,,,,Vicious Longsword,,,
DDHC-DIA-02,Shield of the Hidden Lord,1-4,,,,,,,
DDHC-DIA-02,Ch 1 - Introduction,,,3,,,,,
DDHC-DIA-02,Ch 2 - Temple Upper Level,,,6,"Potion of Necrotic Resistance, 2x Potion of Healing, Potion of Animal Friendship, Potion of Fire Resistance",Dagger of the Hidden Lord,Ring of Jumping,,
DDHC-DIA-02,Ch 3 - Temple Lower Level,,,16,"3x Potion of Healing, Spell Scroll of Blur",Eversmoking Bottle,Javelin of Lightning,,
DDHC-DIA-02,Ch 4 - The Pit,,,21,,Shield of the Hidden Lord,,,
,,,,,,,,,
Pipyaps Guide to all the Nine Hells,* Rewards listed in Season 0 under DDAL00-11,,,,,,,,
Infernal Encounters,* Rewards listed in Season 0 under DDAL00-12,,,,,,,,
