Chapter,Chapter Title,Level Range,Recom. Level,Page Numbers,Consumables,Magic Items,,Spellbooks,Other
DDHC-DIA-Ch-1,A Tale of Two Cities,1-13,,,,,,,
DDHC-DIA-Ch-1,Elfsong Tavern,,1,16-19,,,,,Civil Serpent
DDHC-DIA-Ch-1,Dungeon of the Dead Three,,2,20-28,"Potion of Fire Breath (2)
Potion of Healing (4)",Bag of Beans,,"Necromites' Spellbooks
Flennis' Spellbook",
DDHC-DIA-Ch-1,The Low Lantern,,3,28-32,,,,Laraelra's Spellbook,Torpor (4 doses)
DDHC-DIA-Ch-1,Vanthampur Villa,,3,32-36,Potion of Healing (3),Infernal Puzzle Box,Pipes of the Sewers,,Wine bottle laced with Midnight Tears
DDHC-DIA-Ch-1,Under the Villa,,4,37-41,,+1 Mace,Shield of the Hidden Lord,,
DDHC-DIA-Ch-1,Candlekeep,,4,45-47,,Headband of Intellect,,,
DDHC-DIA-Ch-2,Elturel has Fallen,,,,,,,,
DDHC-DIA-Ch-2,Arrival in Elturel,,5,,"Potion of Invisibility
Soul Coin
Potion of Frost Giant Strength",+1 Studded Leather Armor,,,
DDHC-DIA-Ch-2,High Hall,,5,,Potion of Greater Healing,Bracers of Defense,Elemental Gem (Yellow Diamond),,
DDHC-DIA-Ch-2,Grand Cemetary,,6,,,+2 Weapon,+1 Longsword,,
DDHC-DIA-Ch-2,Escaping the Siege,,6,,,Helm of Devil Command,Battle Standard of Infernal Power,,
DDHC-DIA-Ch-3,Avernus,,7,,,,,,
DDHC-DIA-Ch-3,Fort Knucklebone,,7,,"Soul Coin (3 - 9)
Soul Coin (3)",Hellfire Warhammer,Circlet of Blasting,,"Devil's Ride or Tormentor
Demon Grinder"
DDHC-DIA-Ch-3,Warlords of the Avernian Wastelands,,,,Soul Coin (2d6),,,,Flasks of Demon Ichor (2d6)
DDHC-DIA-Ch-3,Haruman's Hill,,7,,,,,,
DDHC-DIA-Ch-3,Hellwasp Nest,,7,,Soul Coin (3),Wand of Magic Missiles,Helm of Telepathy,,
DDHC-DIA-Ch-3a,Avernus - Path of Demons,,,,,,,,
DDHC-DIA-Ch-3a,Spawning Trees,,8,,Soul Coin (5),,,,Vial of Demon Ichor (3)
DDHC-DIA-Ch-3a,Tower of Urm,,8,,,,,,
DDHC-DIA-Ch-3a,Obelisk,,8,,,,,,
DDHC-DIA-Ch-3a,Mirror of Mephistar,,8,,,,,,Shatterstick (5)
DDHC-DIA-Ch-3a,Pit of Shummrath,,8,,,Dimensional Shackles,,,
DDHC-DIA-Ch-3a,Crypt of the Hellriders,,9,,Necklace of Fireballs,Wand of Secrets,,,
DDHC-DIA-Ch-3a,Arches of Ulloch,,9,,,,,,
DDHC-DIA-Ch-3a,Kostchtchie's Maw,,10,,,,,,
DDHC-DIA-Ch-3b,Avernus - Path of Devils,,,,,,,,
DDHC-DIA-Ch-3b,Demon Zapper,,8,,,,,,
DDHC-DIA-Ch-3b,Bone Brambles,,8,,,"Bag of Devouring
Hat of Disguise",+1 Wand of the War Mage,,
DDHC-DIA-Ch-3b,Uldrak's Grave,,8,,,Orb of Dragonkind,,,
DDHC-DIA-Ch-3b,Arkhan's Tower,,9,,"Potion of Healing (5)
Soul Coin (2)",+1 Maul,,,
DDHC-DIA-Ch-3b,Tiamat's Monument,,9,,,,,,
DDHC-DIA-Ch-3b,Bel's Forge,,9,,,Hellfire Javelin (2),Hellfire Greatsword,,
DDHC-DIA-Ch-3b,Sibriex,,10,,"Potion of Greater Healing (2)
Soul Coin (3 - 6)",Ring of X-Ray Vision,,,
DDHC-DIA-Ch-3b,Wrecked Flying Fortress,,10,,,Adamantine Rods (9),,,Iron Flask of Demon Ichor (40)
DDHC-DIA-Ch-3c,Avernus - Other Locations,,,,,,,,
DDHC-DIA-Ch-3c,Stygian Dock,,,,Soul Coin,,,,
DDHC-DIA-Ch-3c,Styx Watchtower,,,,,,,,
DDHC-DIA-Ch-3c,Sundered Chains,,,,,,,,
DDHC-DIA-Ch-3c,The Wandering Emporium,,7,,,,,,
DDHC-DIA-Ch-3c,Zariel's Flying Fortress,,,,,,,,
DDHC-DIA-Ch-3c,Smiler the Defiler,,,133,Soul Coin (7),+2 Leather Armor,+1 Shortsword,,
DDHC-DIA-Ch-4,Sword of Zariel,,,,,,,,
DDHC-DIA-Ch-4,The Scab,,11,,Soul Coin (3),"+1 Glaive
Eversmoking Bottle",Iron Flask,,"Assorted poisons, 1 dose each:
Flask of Burnt Othur Fumes
Flask of Carrion Crawler Mucus
Flask of Essence of Ether
Flask of Malice
Flask of Oil of Taggit
Flask of Torpor"
DDHC-DIA-Ch-4,Entering the Citadel,,12,,,,,,
DDHC-DIA-Ch-4,Idyllglen,,12,,,,,,"Charm of Vitality
Charm of Restoration"
DDHC-DIA-Ch-4,Claiming the Sword,,12,,,Sword of Zariel,,,
DDHC-DIA-Ch-5,Escape from Avernus,,,,,,,,
DDHC-DIA-Ch-5,Who should rule Avernus?,,,,,,,,Blessing of Health
DDHC-DIA-Ch-5,Will Elturel be saved?,,,,,Blade of Avernus,,,
DDHC-DIA-Ch-5,Endgame in Elturel,,,,,Matalotok,,,
