Chapter Code,Chapter Title,Level Range,Recom. Level,Page Numbers,Consumables,Magic Item 1,Magic Item 2,Spellbooks,Other
DDHC-DoIP-Ch-1,Axeholm,5-10,5,12 - 15,Potion of Superior Healing,Gauntlets of Ogre Power,Dread Helm,,Gold Signet Ring
DDHC-DoIP-Ch-2,Butterskull Ranch,1-4,3,16 - 17,,Mithral Chain Mail,,,
DDHC-DoIP-Ch-3,Circle of Thunder,5-10,6,18 - 19,"Potion of Greater Healing
Potion of Invulnerability",+1 Shield,,,
DDHC-DoIP-Ch-4,Dragon Barrow,5-10,5,20 - 21,Necklace of Fireballs,Dragonslayer,Instrument of Illusions (Lute),,
DDHC-DoIP-Ch-5,Dwarven Excavation,1-4,1,22 - 23,,Sending Stones,,,
DDHC-DoIP-Ch-6,Falcon's Hunting Lodge,,,24 - 25,,Boots of Elvenkind,,,
DDHC-DoIP-Ch-7,Gnomengarde,1-4,1,26 - 29,,"Clockwork Amulet
Pole of Collapsing","Wand of Pyrotechnics
Hat of Wizardry",Magick of Gnomengarde,Barrel Crabs
DDHC-DoIP-Ch-8,Icespire Hold,5-10,6,30 - 33,Potion of Healing (3),,,,
DDHC-DoIP-Ch-9,Loggers' Camp,1-4,3,34 - 35,,,,,
DDHC-DoIP-Ch-10,Mountain's Toe,1-4,4,36 - 37,,Goggles of Night,,,Grannoc's Map
DDHC-DoIP-Ch-11,Shrine of Savras,,1 - 6,38 - 39,,Mystery Key,,,
DDHC-DoIP-Ch-12,Tower of Storms,1-4,3,40 - 42,Potion of Water Breathing,Weapon of Warning (see note),"Cloak of Many Fashions
Wand of Secrets",Orca's Spellbook,Charm of the Storm
DDHC-DoIP-Ch-13,Umbrage Hill,1-4,3,43,Potion of Healing,,,,
DDHC-DoIP-Ch-14,Woodland Manse,5-10,5,44 - 47,Dust of Disappearance,Immovable Rod,"Staff of Birdcalls
Cloak of Billowing",,
