Chapter,Chapter /Section Title,Level Range,Recom Level,Page Numbers,Consumables,Magic Items,,Spellbooks,Story Awards/Other,,,,Non-AL Fixed Treasure (GP),"Non-AL Rolled 
Treasure (GP)",,"Fixed 
AL (GP)","AL Rolled 
Treasure (GP)",,Rolls on DMG Magic Item Tables
DDHC-DMM-Lvl-0,Undermountain Overview,,,,,,,,,,,,,,,,,,
DDHC-DMM-Lvl-1,Dungeon Level,5-10,5,,,Wand of Secrets,"Driftglobe, Circlet of Blasting",Kelim,"Elder Rune, Gate to 10",,,,,,,,,,
DDHC-DMM-Lvl-2,Arcane Chambers,,6,,Spell Scroll: Raise Dead; Potion: Healing,Circlet of Human Protection; Ring of Swimming,Pot of Awakening; Dust of Disappearance,Kalabash; Rizzeryl; Badly Burnt Spellbook,"Gate to 4, Gate to 5; Gate to 6",,,,,,,,,,
DDHC-DMM-Lvl-3,Sargauth Level,,7,,"Potion of water breathing, Healing, and Animal Friendship",elemental gem (water),,Marta Moonshadow; Preeta Kreepa,"Elder Rune, Gate to 5, Gate to 6, 3x Secrets Deck",,,,,,,,,,
DDHC-DMM-Lvl-4,Twisted Caverns,,8,,Scroll of Gaseous Form and Magic Weapon; Potion of Healing (2),"Rope of Climbing, Pipe of Smoke Monsters","one of two boots of elven kind (second boot is level 5 area 17), shield guardian amulet (Shield Guardian is on Level 1) [See Note]",Darribeth Meltimer; Thirza,"Gate to 6, Gate to 2",,,,,,,,,,
DDHC-DMM-Lvl-5,Wyllowwood,,8,,"Potion of gaseous form, Scroll of heroes feast, Potion of greater healing, Scroll of Speak with Animals","wand of fireballs, Staff of Flowers, Hide Armor of Resistance (lightning), Pearl of Undead Detection","Tearuli, one of two boots of elven kind (second boot is level 4 area 16a)",,"Gate to 2, Gate to 3, Gate to 6, Crystal bulb that summons Halaster Blackcloak",,,,,,,,,,
DDHC-DMM-Lvl-6,Lost Level,,9,,Scroll of mass cure wounds,Dagger of Blindsight,"Sentinel Shield, Jade Serpent Staff",,"Multiple gates, 4 of 5 pieces of a staff that turns into giant poisonous sake (5th piece level 8 area 19c)",,,,,,,,,,
DDHC-DMM-Lvl-7,Maddgoth's Castle,,,,Potion of Fire Breath and Invisibility; Scroll of Cloudkill,"Wand of conducting, elemental gem (air)","breastplate +1  (loses +1 if in sunlight for 1 hour), Maddgoth's Helm",,"Gate to 9, 10, and 11",,,,,,,,,,
DDHC-DMM-Lvl-8,Slitherswamp,,,,Scroll of modify memory,Rod of rulership; candle of invocation,headband of intellect,Karstis,"Gates to 6, 10, and 11; 1 of 5 pieces of a staff that turns into giant poisonous sake (4 other pieces level 6 area 39b)",,,,,,,,,,
DDHC-DMM-Lvl-9,Dweomercore,,,,scroll of legend lore; Potion of Greater Healing (3),Gem of seeing,,"Yarek, Spite 1, Spite 2, Cephalossk, Nylas, Elan Tanor, Violence, Arcanaloth, Turbulence, All known spells of 4th level and lower, Skrianna, Halaster - Meager","Gates to 6, 7, and 14; Elder Rune. The Professor Orb is a Story Item.",,,,,,,,,,
DDHC-DMM-Lvl-10,Muiral's Gauntlet,11-16,,,"potion of greater healing, Potion of Healing, Potion of Superior Healing (each if rescue halflings), Scroll of Hold Person, Oil of Slipperiness","Mithril Plate, Gauntlets of Ogre Power, Falkir's Helm of Pigheadedness","wand of the war mage +1, Piwafwi, Chest of Preserving",Kereth,"Gates to 1, 6, 7, 8, and 12; Cursed Helm",,,,,,,,,,
DDHC-DMM-Lvl-11,Troglodyte Warrens,,,,potion of supreme healing,dagger of venom,dread helm,Tsabdrar Do'ett,"Gate to 6, 7, and 8",,,,,,,,,,
