Adventure Code,Adventure Title,Level Range,Recom. Level,Page Numbers,Consumables,Magic Items,,Spellbooks and Scrolls,Story Award,Treasure (GP) Legacy,Min/Max XP Legacy,ACP,Renown,TP,Downtime
DDHC-LMOP,Lost Mine of Phandelver,,,,,,,,,,,,,,
DDHC-LMOP-Ch-1,1 - Goblin Arrows,1-4,,11-12,Healing (x2),,,,,160.2,,11-12,,11-12,3-3
DDHC-LMOP-Ch-2,2 - Phandalin,,,,Healing (x3),,,,,940,,,0,,0
DDHC-LMOP-Ch-2,Redbrand Hideout,,,20-26,"Healing (x3), Invisibility",A +1 Longsword,Staff of Defense,"Augury, Charm Person, Fireball",,931.9,,20-26,,20-26,#VALUE!
DDHC-LMOP-Ch-3,3 - The Spider's Web,,,,,,,,,,,,,,0
DDHC-LMOP-Ch-3,Old Owl Well,,,29,Healing,Ring of Protection,,Darkness,,208.5,,29,7.25,29,72.5
DDHC-LMOP-Ch-3,Ruins of Thundertree,,,30-35,"Healing, Flying",Hew (+1 Battleaxe),,"Misty Step, Lightning Bolt",,1109.5,,30-35,,30-35,#VALUE!
DDHC-LMOP-Ch-3,Wyvern Tor,,,35,,,,,,116.5,,35,,35,87.5
DDHC-LMOP-Ch-3,Cragmaw Castle,,,38-41,Healing (x4),,,"Silence, Revivify",,707,,38-41,#VALUE!,38-41,#VALUE!
DDHC-LMOP-Ch-4,4 - Wave Echo Cave,,,44-50,"Vitality, Healing","Boots of Striding and Springing, Gauntlets of Ogre Power",Wand of Magic Missles,,,1346.2,,44-50,,44-50,#VALUE!
DDHC-LMOP-Ch-4,,,,,,Lightbringer (+1 mace),Dragonguard (+1 breastplate),,,,,,,,0
DDHC-LMOP-Ch-4,,,,,,Spider Staff,,,,,,,0,,0
