Module Code,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards,Author,Treasure (GP),,
Wrote a module? ,Submit your mod here,,,,,,,,,,,,
PS-DC-AUG-01,Celestia Has Fallen,17-20,18,4,,"Plate Armor +3, Guardian property",,,"Boon of Recovery, Savior of the Seven Heavens",Johnny Smith,100000,,
PS-DC-AUG-02,The Dark Sun,17-20,18,4,,"Ring of Spell Turning, Wicked property",,,"Boon of Invincibility, Cyric is Free I Swear It!",Johnny Smith,50000,,
PS-DC-BINGO-1,Lorem Ipsum,5-10,8,4,"Spell Scroll of Protection from Energy, Spell Scroll of Warp Sense","Mimir, Language property (Modron)",,,The Clearing at the End of the Path,Sean Ware,5000,,
PS-DC-BINGO-2,Esse Est Percipi,5-10,8,4,"Spell Scroll of Spray of Cards, Spell Scroll of Tiny Servant","Astral Shard, Harmonious property","Clockwork Amulet, Song Craft property",,"Hic Sunt Dracones, Out of Time, This Will Go Down on Your Permanent Record, A Moment of Your Time, Your Attention Please, Your Last Breath",Sean Ware,5000,,
PS-DC-CAKE-01,CAKE WARS,1-4,3,2,"Potion of Healing, Spell Scroll of Frost Finger, Mind Crystal (Subtle)",Gloves of Missile Snaring,,,"Enemy of Cakers, Porte Gateaux Lifetime Member",Steven Truong,250,"Thug equipment (multiple), Cult Fanatic equipment (multiple)",
PS-DC-CAKE-02,CAKE WARS II,1-4,3,2,,,,,,Steven Truong,,,
PS-DC-CAR-01,13 Hours in Sigil,17-20,17,4,,,,,,JD McComb,,,
PS-DC-CEG-02,Snakes on a Planescape,17-20,20,4,,"Figurine of Wondrous Power (Obsidian Steed), Illusion property",Ruby of the Warmage,,Boon of Quick Casting,Bennett Ellis and Dante Santos,50000,,
PS-DC-DD-01,Shadows on the Wall,1-4,3,4,,,,,,Steven Truong,,,
PS-DC-DDD,A Devious Deva's Deduction,5-10,8,4,"Spellwrought Tattoo of Speak with Dead, Spell Scroll of Revivify, Potion of Radiant Resistance","Astral Shard, Harmonious property","Clockwork Amulet, Wicked property",,,Franz Bedonia,4800,,
PS-DC-DRAGON24-01,At the Edge of No Tomorrows,5-10,8,4,,,,,,David Sklenicka,,,
PS-DC-DRAGON24-02,The Merchant of Ruin,5-10,8,4,"Deck of Miscellany, Potion of Hill Giant Strength, Spell Scroll of Speak with Plants","Spear +2, Guardian property",Pipe of Smoke Monsters,,"Wanted by the Harmonium, A Friend on the Inside, A Thousand WOrds",David Sklenicka,5000,,No Rewards page
PS-DC-DRAGON24-03,The Birdcage,5-10,8,4,,,,,,David Sklenicka,,,
PS-DC-DRAGON24-04,The Gallery of Souls,5-10,8,4,,,,,," Denise “Celticdenefew” Atwood, David Sklenicka",,,
PS-DC-DRAGON24-05,Echoes of Future's End,5-10,8,4,,,,,,David Sklenicka,,,
PS-DC-ELEMENT-DEATH-01,Rocky Road,17-20,18,4,,"Plate Armor +3, Strange Material property (stone slabs)","Half Plate of Gleaming, Strange Material property (stone slabs)",,"Boon of Resilience, Cradle of Evil Earth",Death 101010,100000,,
PS-DC-ELEMENT-DEATH-02,And Then They Attacked,17-20,18,4,,"Studded Leather Armor +3, Beacon property","Enduring Spellbook, Language property (Primordial)",,"Boon of the Fire Soul, Cradle of Evil Fire, Mist Sworn",Death 101010,100000,,
PS-DC-ELEMENT-DEATH-03,Saturated Seas,17-20,18,4,"Spellwrought Tattoo of Greater Restoration, Spellwrought Tattoo of Mass Cure Wounds","Platinum Scarf, Language property (Druidic)","Pole of Collapsing, Language property (Thieves' Cant)",,"Charm of Talons, Cradle of Evil Water, Mist Sworn",Death 101010,100000,,
PS-DC-FOT-01,When Faunel Attacks: Riverwood Under Siege,1-4,3,4,,,,,,Joshua Nelson,,,
PS-DC-GLITCH-01,"Roots, Bloody Roots",17-20,18,4,"Spell Scroll of Wrath of Nature, Potion of Heroism","Horn of Valhalla (Iron), Guardian property","Wand of Conducting, War Leader property",,"Blessing of Magic Resistance, Multiversal Bridge",Luís Ricardo 'DM Corvo' da Costa,100000,,Wand of Conducting not a valid reward at time of publishing
PS-DC-GMM-01,The Elemental Demiplane of Cheese,5-10,8,4,,,,,,Richard Gejji,,,
PS-DC-GMM-02,Pazuzu's Askew Kazoo,5-10,8,4,,,,,,Richard Gejji,,,
PS-DC-GMM-03,Frantic Frontier Fiasco,5-10,8,4,,,,,,Richard Gejji,,,
PS-DC-HNL-01,Nowhere Fast,1-4,3,4,"Potion of Healing, Spell Scroll of Find Familiar, Spell Scroll of Burning Hands",Ring of the Orator,Clothes of Mending,,,Jonathan Bennett,500,,
PS-DC-HNL-02,The Hungry Prince,1-4,3,4,"Potion of Healing, Spell Scroll of Protection From Evil and Good",Insignia of Claws,Chest of Preserving,,,Jonathan Bennett,374,,
PS-DC-HNL-03,Ardragon of Sigil,1-4,3,2,Spell Scroll of Silence,Sensory Stone,,,Namer,Jonathan Bennett,250,"Leather Armor (3), Scimitar (3), Traveler Clothes (3), Book (2), Flute, Holy Symbol Amulet",
