 ,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbook,Story Awards,ACP,TCP,Renown,DT,Admin Rulings / Notes
DDAL10-00,Ice Road Trackers,1,1,4,,"Boots of False Tracks
Ersatz Eye","Smoldering Armor (Studded Leather)
Unbreakable Arrow",,,,,,,
DDAL10-01,The Frozen North,1-2,1,4,"Potion of growth, Potion of healing, Potion of comprehension",Goggles of Night,Illuminator's Tattoo,,Rescuers,,,,,
DDAL10-02,Gnashing Teeth,1-4,3,4,"Potion of healing, Potion of water breathing",Sending stones,,,"On Thin Ice;
One Man's Junk",,,,,
DDAL10-03,Divining Evil,1-4,3,4,"Potion of healing, Spell scroll of lesser restoration",Boots of Striding and Springing,,,Chardalyn Arrowhead,,,,,
DDAL10-04,Cold Benevolence,1-4,3,4,Potion of resistance (cold),Robe of Useful Items,,,Charm of Lor the Timid; Charm of Sappa Ever-Watching; Charm of Singing Gir,,,,,
DDAL10-05,A Blight in the Darkness,5-10,6,4,"Potion of resistance (acid), Spell scroll of Spider Climb",Chardalyn Breastplate (Breastplate of Necrotic Resistance),Wand of Pyrotechnics,,Corrupting Chardalyn Infusion; Sing a Song of Vengeance; The Song Falls Silent,,,,,
DDAL10-06,The Fallen Star,5-10,7,4,"Potion of climbing, Potion of greater healing",Chime of Opening,Prosthetic Limb,,Captured Goliaths,,,,,
DDAL10-07,Into Darkness,5-10,8,4,,Mace of Smiting,Dark Shard Amulet,,I Saw Forever,,,,,
DDAL10-08,Volatile Thoughts,5-10,9,4,"Oil of etherealness, Potion of growth",Boots of Levitation,Clockwork Amulet,,,,,,,
DDAL10-09,Recipe for Retribution,5-10,10,4,"Potion of greater healing, Potion of hill giant strength",Portable Hole,Ruby of the War Mage,,,,,,,
DDAL10-10,Burying the Past,10-13,11,4,"Spell scroll of contact other plane, Spell scroll of legend lore","Staff of Defense, Staff of Striking",Clockwork Amulet,,I Saw Forever,,,,,
DDEP10-00,The Great Knucklehead Rally,1-4,2,3,"Potion of Greater Healing, Potion of Growth, Potion of Poison","Mariner's Armor, Rope of Climbing","Horn of Silent Alarm, Figurine of Wondrous Power, Silver Raven (flavored as a snowy owl)",,,,,,,
DDEP10-01,Terror in Ten Towns,1-4,3,4,,"Charlatan's Die, Pole of Angling","Headband of Intellect (Chardalyn Earring), Bracers of Archery",,,,,,,
DDEP10-02,Song of Spears,5-10,,,,,,,,,,,,
,,11-16,,,,,,,,,,,,
