Adventure,Adventure Title,Level Range,"Level, Optimized for",Runtime,Consumables,Magic Items,,Spellbooks,Story Awards & Downtime Activities,Treasure (GP) Legacy,Min/Max XP Legacy,ACP,TP,Renown,Downtime
DDAL05-01,Treasures of the Broken Hoard,1-2,1,2,"Potion of Healing x3, Alchemist's Fire; Scroll of Comprehend Languages, Scroll of Disguise Self",,,,Story Award: Blooddrinker the Bear,1000 (total),375/500 (total),2,2,0.5,5
DDAL05-02,The Black Road,1-4,3,2,-,Bracers of Archery,,,Story Award: Friend on the Black Road,255,450/600,2,2,0.5,5
DDAL05-03,Uninvited Guests,1-4,3,2,Potion of Healing,Brooch of Shielding,,,"Story Awards: A Giant Challenge, Defenders of Parnast, Glory Before Goodwill",500,450/600,2,2,0.5,5
DDAL05-04,In Dire Need,5-10,7,2,"Potion of Climbing, Potion of Heroism",Mithral Splint Mail +1 (SEE NOTES),,,"Story Awards: SEER’s Delivery Service, Heroes of Citadel Adbar, Ire of the Frost Giants",1600,1875/3125,2,2,0.5,5
DDAL05-05,A Dish Best Served Cold,5-10,8,2,"Potion of Frost Giant Strength, Potion of Healing",Cloak of Displacement,,,"Story Awards: Adventurer? More Like Bad-venturer!, Frontier Friend, Scarn Slayer",1400,2250/3000,2,2,0.5,5
DDAL05-06,Beneath the Fetid Chelimber,1-4,3,2,,Ring of Swimming,,,,400,450/740,2,2,0.5,5
DDAL05-07,Chelimber's Descent,1-4,3,2,"Scroll of Tongues, Scroll of Lesser Restoration",Wand of Webs,, Elemental Evil Spellbook,Downtime Activity: Faction Copyist,430, 450/600,2,2,0.5,5
DDAL05-08,Durlag's Tower,11-16,13,4,"Potions of Superior Healing, Invulnerability, and Speed; Spell Scroll of Greater Invisibility",Staff of Thunder and Lightning OR Quasit's Essense,,,Story Awards & Downtime Activities,6250,10300/13800,4,8,1,10
DDAL05-09,Durlag's Tomb,11-16,13,4,"Potion of Superior Healing, Potion of Invulnerability",Skeggox (+3 Battleaxe),,,Story Award: Favor of Candlekeep,6750,10125/13290,4,8,1,10
DDAL05-10,Giant Diplomacy,1-4,4,2,"Potion of Healing, Potion of Greater Healing",Ring of Jumping,,,"Story Awards: Satyr Training, Defenders of Parnast, Greater Defenders of Parnast",270,1275/1700,2,2,0.5,5
DDAL05-11,Forgotten Traditions,5-10,7,4,"Potion of Fire Giant Strength, Potion of Superior Healing; Spell Scroll of Antilife shell",Opal of the Ild Rune,,,Story Awards & Downtime Activities,3200,3750/5000,4,4,1,10
DDAL05-12,Bad Business in Parnast,1-4,4,2,Potion of Healing; Oil of Slipperiness,Gauntlets of Ogre Power,,,,940,640/850,2,2,0.5,5
DDAL05-13,Jarl Rising,5-10,10,4,Potion of Superior Healing,"Shroud of the Mourning Warrior (+1 Scale
Mail)",,,,3500,6750/9000,4,4,1,10
DDAL05-14,Reeducation,11-16,14,4,"Potion of Cloud Giant Strength, Potion of Superior Healing",Opal of the Ild Rune,Orb of the Stein Rune,,,8300,11250/15000,4,8,1,10
DDAL05-15,Reclamation,11-16,14,4,Potion of Superior Healing; Spell Scroll of Stoneskin,Pennant of the Vind Rune,Spell Scroll of Stoneskin,,,5000,11250/15000,4,8,1,10
DDAL05-16,Parnast Under Siege,1-4,4,4,Potion of Hill Giant Strength,Headband of Intellect,,,Story Awards & Downtime Activities,1450,1275/1700,4,4,1,10
DDAL05-17,Hartkiller's Horn,5-10,8,4,"Potion of Greater Healing, Potion of Cold Resist",Dagger of Venom,,,Story Award & Downtime Activity: Gratitude of Hartkiller ,1200,4500/6000,4,4,1,10
DDAL05-18,The Mysterious Isle,17-20,17,4,,Each Character Chooses One of the Following:," +2 Armor, +3 Shield, +3 Weapon, Horn of Valhalla (Bronze), Anstruth Harp, Ring of Shooting Stars, Robe of Scintillating Colors, Robe of Stars, Rod of the Pact Keeper +3, Wand of the War Mage +3",,,100000,18750/25000,10,#N/A,,
DDAL05-19,Eye of Xxiphu,17-20,17,4,,"Staff of Power, Tome of Understanding",The Eye of Xxiphu,,,200000,18750/25000,10,#N/A,,
,,,,,,,,,,,,,,,
DDEP5-1-T1,The Iron Baron,1 - 4,3,4,"Potion of Healing, Scroll of Bless",Wyrmripper (Dragon Slayer Greatsword),Flamebourne Armor,,Story Award: Hated of Surtur & Downtime Activity: Flameborne Armor,500,900/1500,10,#N/A,,
DDEP5-1-T2,,5 - 10,7,4,"Potion of Greater Healing, Scroll of Mass Cure Wounds",Red Dragon Scale Mail,Flamebourne Armor,,,1600,3750/6250,10,#N/A,,
DDEP5-2-T1,Ark of the Mountains,1 - 4,3,4,Potion of Healing (50% chance / char),"Adamantine Chain Shirt, Periapt of Wound Closure",A +1 Halberd,,,50 / char,900/1500,10,#N/A,,
DDEP5-2-T2,,5 - 10,8,4,Potion of Greater Healing (50% chance / char),"A +2 Longbow, Ring of Spell Storing",Giant Slayer Greatsword,,,200 /char,4500/7500,10,#N/A,,
DDEP5-2-T3,,11 - 16,12,4,Potion of Supreme Healing (50% chance / char),"Ring of Shooting Stars, Animated Shield",Frostbrand Scimitar,,,800 / char,8625/14375,10,#N/A,,
