Chapter,Chapter Title,Level Range,Recom. Level,Page Numbers,Consumables,Magic Items,,Spellbooks,Other
DDHC-LoX-Ch-1,Astral Rain,5 - 10,5,,,,,,
DDHC-LoX-Ch-2,Attack of the Star Moth,5 - 10,5,,,Spelljamming Helm,,,
DDHC-LoX-Ch-3,Treacherous Salvage,5 - 10,5,,Spell Scroll of Wall of Force,Ioun Stone (Reserve),+1 Breastplate,,
DDHC-LoX-Ch-4,A Friend Indeed,5 - 10,6,,,,,,
DDHC-LoX-Ch-5,Living on the Edge,5 - 10,6,,,Robe of Useful Items,"Wildspace Orrery
Fish Suit",Topolah's Spellbook,
DDHC-LoX-Ch-6,Grave Alliance,5 - 10,6,,,,,,Note re: Cargo hold
DDHC-LoX-Ch-7,Trust Issues,5 - 10,7,,,Ring of Shooting Stars,,,
DDHC-LoX-Ch-8,Arena of Blood,5 - 10,7,,,"Mirror of Life Trapping
Spelljamming Helm","+1 Chain Mail
+1 Greatsword",,Note re: Armory
DDHC-LoX-Ch-9,Discord and Diplomacy,5 - 10,7,,,Ring of Shooting Stars,,,
DDHC-LoX-Ch-10,Space Invaders,5 - 10,8,,Oil of Sharpness,,,,
DDHC-LoX-Ch-11,Crowning Moment,5 - 10,8,,,Ring of Shooting Stars,,,
DDHC-LoX-Ch-12,Light of Xaryxis,5 - 10,8,,,,,,
