Adventure Code,Adventure Title,Level Range,Recom. Level,Runtime,Consumables,Magic Items,,Spellbooks and Scrolls,Story Award,Page Numbers,Treasure (GP) Legacy,Min/Max XP Legacy,ACP,Renown,TP,Downtime
DDAL00-01,Window to the Past,5-10,,4,,Adamantine Armor,Rod of Security,,,,3000,6750/9000,4,1,4,10
,,11-16,,4,,,,,,,6000,14250/18000,4,,8,10
,,17-20,,4,,,,,,,17500,28500/40000,4,,8,10
,Lost Tales of Myth Drannor,,,,,,,,,,,,,,,
DDAL00-02A,The Darkwood Webs,1-4,3,2,Sprite Sleep Poison,Cloak of Protection,,,,8-16,275,450/600,2,0.5,2,5
DDAL00-02B,The Weirding Vats,1-4,3,2,Potion of Healing,Stone of Good Luck,,"Spell Scroll of Find Familiar, Gorig's ""Spellbook""",,17-28,525,450/600,2,,2,5
DDAL00-02C,Spawn of the Maimed Virulence,5-10,8,2," Potion of Greater Healing, Potion of Resistance (Poison), Potion of Heroism",Bracers of Defence,,,,29-37,2300,4500/6000,2,,2,5
DDAL00-02D,Echoes of the Weeping War,5-10,8,2,Potion of Invisibility,Flame Tongue (Longsword),,"Spell Scroll of Fireball (5th level), Spell Scroll of Restoration",,38-46,1700+,1875/2500,2,0.5,2,5
DDAL00-02E,Forgotten Foes,11-16,13,2,Oil of Sharpness,Rod of Absorption,,"Spell Scroll of Lesser Restoration, Spell Scroll of Ray of Enfeeblement, Scroll of Protection (Fey), 5 Chained Tomes ""Spellbook""",,47-56,5000,5050/6750,2,,4,5
DDAL00-02F,The Definition of Heroism,17-20,18,2,,Tome of Stilled Tongue,,Quaryl's Spellbooks,,57-,12700,14000/18500 ,2,,4,5
DDAL00-03 T3,Those That Came Before,11-16,13,4,Potion of Superior Healing x 2,Wand of Wonder (Rooster),Rod of Alertness,"Favor of Candlekeep
Can learn ancient Netherese by spending 120 downtime days at Candlekeep doing nothing other than working on your knowledge of this language. May instead choose three spell scrolls of up to 5th level for free from an approved Adventurers League resource.",,,4500,11500/13500,4,1,8,10
DDAL00-03 T4,,17-20,18,4,Potion of Supreme Healing x 2,Wand of Wonder (Rooster),Gray Robe of the Archmagi,"Favor of Candlekeep
Can learn ancient Netherese by spending 120 downtime days at Candlekeep doing nothing other than working on your knowledge of this language. May instead choose three spell scrolls of up to 7th level for free from an approved Adventurers League resource.",,,5500,20000/27000,4,1,8,10
DDAL00-04,Winter's Flame,1-4,3,2,,Chultan Midwinter Candle (Candle of the Deep),Flurried Furs (Smoldering Armor),,,,370,450/600,2,0.5,2,5
DDAL00-05,Winter's Splendor,1-4,,2,,Bell of the Silent Carols,,,A Gift of Golden Wings,4-5,,,,,,
,,,,,,Enduring Spellbook,,,,6-9,,,,,,
,,,,,,Boots of the Winterlands,,,,10-11,,,,,,
