Chapter,Chapter /Section Title,Level Range,Recom. Level,Page Numbers,Consumables,Magic Items,,Spellbooks,Story Awards/Other,Fixed Treasure (GP),Rolled Treasure (GP),Rolls on DMG Magic Item Tables,,,,
DDHC-TYP-Ch-1,The Sunless Citadel,1-4,1,,,,,,,,,,,,,
DDHC-TYP-Ch-1,,,,13,,,,,,6.3,,,,,,
DDHC-TYP-Ch-1,,,,14, +1 Arrows (3),,,,,,"6d10sp, 3d10gp",,,,,
DDHC-TYP-Ch-1,,,,16,"spell scrolls: command, cure wounds (2nd level), inflict
wounds (2nd level), and guiding bolt (2nd level).",,,,,292,,,,,,
DDHC-TYP-Ch-1,,,,17,,,,,,75,,,,,,
DDHC-TYP-Ch-1,,,,19,"Elixer of Health (3); spell scrolls (mage armor,
spider climb, and knock),","Quaal's feather token (tree),",,,,35,,,,,,
DDHC-TYP-Ch-1,,,,20,"Potion of Fire Breath, Potion of Resistance (Fire)",Night Caller,,,,60,,,,,,
DDHC-TYP-Ch-1,,,,21,Potion of Healing,,,,,201.2,"2d6 - 2 sp, 1d6 - 1 gp, and 1d4+ - 1 gems (worth 5 gp each).",,,,,
DDHC-TYP-Ch-1,,,,22,,,,,,50,,,,,,
DDHC-TYP-Ch-1,,,,23,,,,,,174,,,,,,
DDHC-TYP-Ch-1,,,,25,"Potion of Healing; Scrolls: Faerie Fire, Expeditious Retreat",,,,,431,,,,,,
DDHC-TYP-Ch-1,,,,27,,,,,,178.1,,,,,,
DDHC-TYP-Ch-1,,,,29,"Potion of Healing, Alchemist Fire (2); Spell Scroll of Scorching Ray, and Melf's Acid Arrow",,,,,34,,,,,,
DDHC-TYP-Ch-1,,,,30,"Spell scroll of entangle,  protection from poison",,,,,595,,,,,,
DDHC-TYP-Ch-1,,,,31,Potions of Healing (3),Shatterspike,Wand of Entangle,,,20,,,,,,
DDHC-TYP-Ch-2,Forge of Fury,1-4,3,,,,,,,,,,,,,
DDHC-TYP-Ch-2,,,,39,,,,,,20,,,,,,
DDHC-TYP-Ch-2,,,,40,Potions of Healing (2),,,,,200,,,,,,
DDHC-TYP-Ch-2,,,,42,Potion of Climbing, +1 Rapier,,,,1110,,,,,,
DDHC-TYP-Ch-2,,,,43,Potion of Healing,,,,,65,,,,,,
DDHC-TYP-Ch-2,,,,44,,,,,,35,,,,,,
DDHC-TYP-Ch-2,,,,46,"Potion of Climbing, Potion of Water Breathing", +1 Longsword,,,,780,,,,,,
DDHC-TYP-Ch-2,,,,47,,,,,,230,,,,,,
DDHC-TYP-Ch-2,,,,48,,,,,,80,,,,,,
DDHC-TYP-Ch-2,,,,49,"Potion of Water Breathing, Potion of Invisibility",,,,,,,,,,,
DDHC-TYP-Ch-2,,,,50,,Ring of Spell Storing,,,,1980,,,,,,
DDHC-TYP-Ch-2,,,,51,,,,,,80,,,,,,
DDHC-TYP-Ch-2,,,,53,Potion of Hill Giant Strength,,,,,1330,,,,,,
DDHC-TYP-Ch-2,,,,55,"Scroll of Web, Spider Climb",,,,,280,,,,,,
DDHC-TYP-Ch-2,,,,56,,,,,,1100,,,,,,
DDHC-TYP-Ch-2,,,,57,"Scroll of Alarm, Disguise Self, Enlarge/Reduce Shield, DM Discretion",,,,,180,,,,,,
DDHC-TYP-Ch-2,,,,58,"Potion of Healing,, Potion of Flying",Wand of Magic Missiles,"+1 Shield, +2 Greataxe",,,2140,,,,,,
DDHC-TYP-Ch-2,,,,59,,,,,,8000 for Items,,,,,,
DDHC-TYP-Ch-3,Hidden Shrine of Tamoachan,5-10,5,,,,,,,,,,,,,
DDHC-TYP-Ch-3,,,,68,,Ring of Protection,,,,,,,,,,
DDHC-TYP-Ch-3,,,,69,"Potion of Invisibility, Elixer of Health"," Tloques' Berserker Axe, Bracers of Defense","Ring of Resistance (fire), Ring of Animal Inlfuence",,,1111,,,,,,
DDHC-TYP-Ch-3,,,,70,,Macuahuitl,,,,20,,,,,,
DDHC-TYP-Ch-3,,,,72,Potion of Clairvoyance,Gloves of Missile Snaring,,,,615,,,,,,
DDHC-TYP-Ch-3,,,,73,,Bracelet of Rock Magic,,,,,,,,,,
DDHC-TYP-Ch-3,,,,74,,Amulet of Protection from Turning (x2),,,,815,,,,,,
DDHC-TYP-Ch-3,,,,75,,,,,,400,,,,,,
DDHC-TYP-Ch-3,,,,77,, +1 Rusty Dagger (breaks on a 1),,,,67,,,,,,
DDHC-TYP-Ch-3,,,,78,,,,,,360,,,,,,
