,Adventure Title,Level Range,Recommended Level,Page Numbers,Consumables,Magic Items,,Spellbooks & Scrolls,Story Awards/Other,Fixed Treasure (GP),Rolled Treasure (GP),Chapter /Section Title,Runtime
DDHC-TOA-2,The Complete Tortle Package,,,,,,,,,,,,
DDHC-TOA-2,Dangwaru / 7. Ruined Bath,1-4,,13,,,,,,25,,,HC (4)
DDHC-TOA-2,Dangwaru / 14. Terrace Garden,,,15,,,,,Lapis Lazuli Ring of Nightmares,25,,,
DDHC-TOA-2,Dangwaru / 18. Treasury,,,16,,Quall's Feather Token (Anchor),,,,6646.6,,,
DDHC-TOA-2,Dangwaru / 20. Haunted Cage,,,17,,Conch Shell of Leomund's Tiny Hut,,,,,,,
DDHC-TOA-2,Dangwaru / 24. Shrine of Umberlee,,,18,Potion of Healing (2),Driftglobe,,,,262.7,,,
DDHC-TOA-2,Geonid Caves,,,18,,,,,,25,"2d10 gp, 1d4 x 10 gp",,
DDHC-TOA-2,High Horn / Bitch Queen,,,19,,,,,,25,,,
DDHC-TOA-2,High Horn / Dirty Dastard,,,19,,Medalion of Thoughts,,,Random Trinkets from PHB Chap 5 (3),52.5,,,
DDHC-TOA-2,High Horn / Sea Mare,,,20,,,,,,25,,,
DDHC-TOA-3,Beasts of the Jungle Rot,,,,,,,,,,,,
DDHC-TOA-3,Allocaurus,,,22,,,,,,120,1d6 x 120,,HC
DDHC-TOA-3,Ankylosaurus,,,22,,,,,,300,1d4 x 300,,
DDHC-TOA-3,Archelon,,,22,,,,,,30,2d6 x 30,,
DDHC-TOA-3,Brachiosaurus,,,22,,,,,,2400,,,
DDHC-TOA-3,Brontosaurus,,,22,,,,,,2000,,,
DDHC-TOA-3,Deinonychus,,,22,,,,,,,"2d6 x 10, 2d8 x 20",,
DDHC-TOA-3,Dimetrodon,,,22,,,,,,,"3d6 x 10, 2d10 x 20",,
DDHC-TOA-3,Dilophosaurus,,,22,,,,,,,"3d4 x 10, 2d6 x 20",,
DDHC-TOA-3,Gigantosaurus,,,22,,,,,,3000,,,
DDHC-TOA-3,Hadrosaurus,,,22,,,,,,,"3d6 x 20, 3d10 x 40",,
DDHC-TOA-3,Mosasaurus,,,22,,,,,,800,1d4 x 800,,
DDHC-TOA-3,Nemicolopterus,,,22,,,,,,,"3d6 x 1, 4d10 x 2",,
DDHC-TOA-3,Pachycephalosaurus,,,22,,,,,,,"2d4 x 60, 2d6 x 120",,
DDHC-TOA-3,Pleisiosaurus,,,22,,,,,,120,2d4 x 60,,
DDHC-TOA-3,Pteranodon,,,22,,,,,,,"3d6 x 10, 3d6 x 20",,
DDHC-TOA-3,Quetzalcoatlus,,,22,,,,,,200,1d6 x 200,,
DDHC-TOA-3,Sarcosuchus,,,22,,,,,,2100,,,
DDHC-TOA-3,Stegosaurus,,,22,,,,,,400,1d6 x 200,,
DDHC-TOA-3,Therizinosaurus,,,22,,,,,,500,1d4 x 500,,
DDHC-TOA-3,Titanosaurus,,,22,,,,,,2800,,,
DDHC-TOA-3,Triceratops,,,22,,,,,,500,1d4 x 500,,
DDHC-TOA-3,Troodon,,,22,,,,,,,"3d6 x 5, 3d6 x 10",,
DDHC-TOA-3,Tyranosaurus rex,,,22,,,,,,400,1d4 x 800,,
DDHC-TOA-3,Velociraptor,,,22,,,,,,,"4d6 x 1, 4d10 x 2",,
DDHC-TOA-3,Zealoraptor,,,22,,,,,,,"2d6 x 60, 2d6 x 120",,
DDHC-TOA-4,Cellar of Death,1-4,,,+1 Bolts (10); Wizard Spell Scroll of DM's Choice (3 - 1st level),Gem of Brightness (25 charges),Shield of Missle Attraction,Zaldara's Spellbook,,225.1,,,HC
DDHC-TOA-5,Encounters in Port Nyanzaru,,,,,,,,,,,,
DDHC-TOA-5,Crate Number Seven,1-11,,5,,,,,,60.5,,,HC
DDHC-TOA-5,Otyugh's Wish,,,8,,Elemental Gem (Emerald),,,,,,,
DDHC-TOA-5,Plague Boat,,,9,,,,,,283,,,
DDHC-TOA-5,Undeserved Punishment,,,15,,Ring of Feather Falling,,,,,,,
DDHC-TOA-5,Yuan-Ti Ambush,,,16,,,,,,85,,,
DDHC-TOA-6,Heart of the Wild,,,,,,,,,,,,
DDHC-TOA-6,Part One: The Runestone Guide,5-10,,5-7,Potion of Greater Healing; Scroll of Protection from Evil and Good,,,,,262,,,HC
DDHC-TOA-6,Part Two: Temple of the Rising Sun,,,10-14,Scroll of Lesser Restoration,Driftglobe,,,Charm of Heroism,805,,,
DDHC-TOA-6,Part Three: The Dark Hollow,,,16-17,,Goggles of Night,,,,520,,,
DDHC-TOA-7,Ruins of Mezro,,,,,,,,,,,,
DDHC-TOA-7,Random Encounter: Apes,1-4,,11,,,,,,1012,,,HC
DDHC-TOA-7,Random Encounter: Cannibals,5-16,,11,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Crocodile Cultists,1-16,,11,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Crocodiles,1-10,,11,,,,,,250,,,HC
DDHC-TOA-7,Random Encounter: Death Knight,11-16,,11,,Flame Tongue Scimitar,,,,,,,HC
DDHC-TOA-7,Random Encounter: Dinosaur Nest,1-10,,12,,,,,,,1d6 x 50,,HC
DDHC-TOA-7,Random Encounter: Flaming Fist Patrol,1-16,,12,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Ghost,1-16,,12,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Giant Spiders,1-10,,12,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Goblin Warband,1-10,,13,,Giant Slayer Rapier,,,,,,,HC
DDHC-TOA-7,Random Encounter: Grung Hatchery,1-10,,13,Potions of Healing (5),,,,,,,,HC
DDHC-TOA-7,Random Encounter: Grung Patrol,1-16,,13,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: House Karanok,5-16,,13,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Mage Hunters,1-16,,13,,Staff of Swarming Insects,,,,,,,HC
DDHC-TOA-7,Random Encounter: Mantraps,1-10,,13,Potions of Invisibility (3),,,,,12.5,1d6 x 100,,HC
DDHC-TOA-7,Random Encounter: Stone Golem,5-16,,14,,,,,,1000 - 3000,,,HC
DDHC-TOA-7,Random Encounter: Supply Wagon,1-16,,14,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Yuan-Ti Abomination,5-16,,14,,,,,,,,,HC
DDHC-TOA-7,Random Encounter: Zombie Beholder,5-16,,14,,Adamantine Armor (Splint),,,,131,,,HC
DDHC-TOA-7,Brokenbarrel's Hut,1-16,,15,,,,,Any character who succeeds in robbing Brokenbarrel’s chest gains one treasure checkpoint at tier 1- 2 or two treasure checkpoints at tier 3.,5880,,,HC
DDHC-TOA-7,House Karanok,1-16,,18,,Sphere of Annihilation,Witchweed (16),,,,,,HC
DDHC-TOA-7,Emberon's Cage,1-16,,19,,,,,,,,,HC
DDHC-TOA-7,Artus Cimber's Home,1-16,,20,,,,,,24,,,HC
DDHC-TOA-7,The Path to Omu,1-4,,22-23,,,,,,,,,HC
DDHC-TOA-7,Children of the Crocodile,5-10,,24-25,,,,,,,,,HC
DDHC-TOA-7,Parting the Veil,11-16,,26-27,,,,,,,,,HC
DDHC-TOA-7,,,,,,,,,,,,,
DDHC-TOA-8,Return of the Lizard King,,,,,,,,,,,,
DDHC-TOA-8,A Meeting With Mother Doe,1-4,,7,Potion of Revivify,,,,,,,,HC
DDHC-TOA-8,A Darkling Ambush,,,9,,Cloak of Elvenkind,Darkling Necklace,,,,,,
DDHC-TOA-8,Byre the Pine Wilden,,,9,+1 Arrows (10),"+1 Spear, +1 Club, +1 Greatclub","Tree Spirit Spear, Tree Spirit Club, Tree Spirit Greatclub",,,,,,
DDHC-TOA-8,Getting to the Island,,,10,,,,,,30,,,
DDHC-TOA-8,At the Island,,,11,,,,,,25,,,
DDHC-TOA-8,"A Royal Audience, and a Deal",,,12,Scroll of Spike Growth,,,,,100,,,
DDHC-TOA-8,Lizards in Peril,,,13,,,,,,40,,,
DDHC-TOA-8,The Yuan-ti Patrol,,,15,Potion of Healing (2),,,,,10,,,
DDHC-TOA-8,The Chase,,,16,,+1 Silver Dagger,,,,250,,,
DDHC-TOA-8,The Beast,,,16,Potion of Invulnerability,,,,,,,,
